language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
emae1237,-,-,n,o,f,o,i,r,a,r,o,-,-
futu1245,-,-,b,u,k,-,-,-,-,-,u,-,-
futu1245,-,-,n,o,f,-,-,-,-,-,o,-,-
poly1242,-,-,n,o,f,-,-,-,-,-,o,-,-
tong1325,-,-,n,o,f,-,-,-,-,-,o,-,-
tong1325,t,a,N,u,t,-,-,-,-,-,u,-,-
wall1257,-,-,n,o,f,-,-,-,-,-,o,-,-
east2447,-,-,n,o,f,-,-,-,-,-,o,-,-
tiko1237,-,-,n,o,f,-,-,-,-,-,o,-,-
niue1239,-,-,n,o,f,-,-,-,-,-,o,-,-
samo1305,-,-,n,o,f,-,-,-,-,-,o,-,-
tuva1244,-,-,n,o,h,-,-,-,-,-,o,-,-
anut1237,-,-,n,o,p,-,-,-,-,-,o,-,-
renn1242,-,-,n,o,h,-,-,-,-,-,o,-,-
onto1237,-,-,N,o,h,-,-,-,-,-,o,-,-
sika1261,-,-,n,o,h,-,-,-,-,-,o,-,-
nuku1259,-,-,n,o,h,-,-,-,-,-,o,-,-
pile1238,-,-,n,o,h,-,-,-,-,-,o,-,-
kapi1249,-,-,n,o,h,-,-,-,-,-,o,-,-
tuam1242,-,-,n,o,h,-,-,-,-,-,o,-,-
penr1237,-,-,n,o,h,-,-,-,-,-,o,-,-
raro1241,-,-,n,o,7,-,-,-,-,-,o,-,-
mang1401,-,-,n,o,7,-,-,-,-,-,o,-,-
maor1246,-,-,n,o,h,-,-,-,-,-,o,-,-
raka1237,-,-,n,o,h,-,-,-,-,-,o,-,-
puka1242,-,-,n,o,n,-,-,-,-,-,o,-,-
rapa1244,-,-,n,o,h,-,-,-,-,-,o,-,-
nort2845,-,-,n,o,h,-,-,-,-,-,o,-,-
hawa1245,-,-,n,o,h,-,-,-,-,-,o,-,-
tahi1242,p,a,r,a,h,-,-,-,-,-,i,-,-
ruru1237,-,a,r,a,7,-,-,-,-,-,i,-,-
ruru1237,-,-,n,o,7,-,-,-,-,-,o,-,-
raiv1237,-,-,n,o,h,-,-,-,-,-,o,t,u
mele1250,-,-,n,o,f,-,-,-,-,-,o,-,-
