language,x1,x2,x3,x4,x5
emae1237,-,-,f,-,a
futu1245,-,-,f,-,a
poly1242,-,-,f,-,a
tong1325,-,-,f,-,a
wall1257,-,-,f,-,a
east2447,-,-,f,-,a
tiko1237,-,-,f,-,a
niue1239,-,-,f,-,a
samo1305,-,e,f,-,a
tuva1244,-,-,f,-,a
anut1237,-,-,p,-,a
renn1242,-,-,h,-,a
onto1237,-,-,h,-,a
sika1261,-,-,h,-,a
nuku1259,-,-,h,-,a
pile1238,-,-,h,-,a
kapi1249,-,-,h,-,a
tuam1242,-,-,h,-,a
penr1237,-,-,h,-,a
raro1241,-,-,7,a,a
mang1401,-,-,7,-,a
maor1246,-,-,f,-,a
raka1237,-,-,f,-,a
puka1242,-,-,w,-,a
rapa1244,-,-,h,-,a
nort2845,-,-,f,-,a
hawa1245,-,-,h,-,a
tahi1242,m,a,h,-,a
ruru1237,-,-,7,-,a
raiv1237,m,a,h,-,a
mele1250,-,e,f,-,a
