language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
guan1279,-,-,-,-,-,-,-,s,-,a,-,-,-,-,-,-,m,t,s,-,o,N,-,-
guan1279,-,-,-,-,-,-,-,S,-,a,-,-,-,-,-,-,m,-,-,-,-,-,-,-
xian1255,-,-,-,-,-,-,-,s,-,a,-,-,-,-,-,-,m,-,-,-,-,-,-,-
nann1239,-,-,-,-,-,-,-,L,-,a,-,-,-,-,-,-,m,-,-,-,-,-,-,-
yuet1238,-,-,-,-,-,-,-,s,-,i,-,-,-,-,-,-,m,t,s,h,o,N,-,-
yuet1238,-,-,-,-,-,-,-,s,-,i,-,-,-,-,-,-,m,-,-,-,-,-,-,-
guiy1235,-,-,-,-,-,-,-,S,-,i,-,-,-,-,-,-,n,-,-,-,-,-,-,-
wuha1234,-,-,-,-,-,-,-,S,-,i,-,-,-,-,-,-,n,-,-,-,-,-,-,-
chan1326,-,-,-,-,-,-,-,S,-,i,n,t,s,a,-,-,n,-,-,-,-,-,-,-
chan1326,-,-,-,-,-,-,-,s,-,i,-,-,-,-,-,-,n,-,-,-,-,-,-,-
chen1267,-,-,-,-,-,-,-,S,-,i,-,-,-,-,-,-,n,-,-,-,-,-,-,-
guil1241,-,-,-,-,-,-,-,S,-,i,N,t,s,o,-,-,N,-,-,-,-,-,-,-
guil1241,-,-,-,-,-,-,-,S,-,i,-,-,-,-,-,-,N,-,-,-,-,-,-,-
hain1237,-,-,-,-,-,-,-,t,-,i,-,-,-,-,-,-,m,-,-,-,-,-,-,-
tuol1234,-,-,-,-,-,-,-,S,-,i,-,-,y,e,-,-,n,-,-,-,-,-,-,-
pand1262,-,-,-,-,-,-,-,h,y,u,-,-,-,-,-,-,m,-,-,-,-,-,-,-
sand1270,-,-,-,-,-,-,-,S,-,u,-,-,-,-,-,-,m,-,-,-,-,-,-,-
sand1270,-,-,-,-,-,-,-,h,y,u,-,-,-,-,-,-,m,-,-,-,-,-,-,-
east2363,-,-,-,-,-,-,-,s,-,i,-,-,-,-,-,-,m,-,-,-,-,-,-,-
east2363,-,-,-,-,-,-,-,s,-,i,-,-,-,-,-,-,m,-,-,-,-,-,-,-
liuq1235,-,-,-,-,-,-,-,8,-,i,-,-,-,-,-,-,m,7,-,-,-,-,-,-
liuq1235,-,-,-,-,-,-,-,s,-,i,-,-,-,-,-,-,m,-,-,-,-,-,-,-
liuq1235,-,-,-,-,-,-,-,8,-,i,-,-,-,-,-,-,m,7,-,-,-,-,-,-
cent2009,-,-,-,-,-,-,-,8,-,i,-,-,-,-,-,-,m,t,-,-,a,u,-,-
cent2009,-,-,-,-,-,-,-,8,-,i,-,-,-,-,-,-,m,t,-,-,a,u,-,-
cent2009,-,-,-,-,-,-,-,8,-,i,-,-,-,-,-,-,m,t,-,-,a,u,-,-
dong1287,-,-,p,l,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nunu1247,t,-,S,-,o,-,N,s,-,i,-,-,-,-,-,-,n,-,-,-,-,-,-,-
east2370,-,-,S,-,-,-,-,-,-,i,-,-,-,-,-,-,n,t,-,-,e,u,-,-
nort2747,-,-,L,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,u,-,-
sout2754,-,-,p,-,-,-,-,-,-,a,-,-,-,-,-,-,m,-,-,-,-,-,-,-
chua1248,-,-,p,-,-,-,-,l,-,-,-,-,-,e,-,-,-,-,-,-,-,u,-,-
larg1235,-,-,7,-,a,-,-,s,-,i,y,-,-,e,7,a,n,-,-,-,b,i,-,-
nort2749,-,-,p,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-
cent1394,-,-,p,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-
luop1235,t,3,p,-,-,-,-,l,-,-,-,-,-,o,-,-,-,-,-,-,-,u,-,-
luop1235,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,S,E
jion1236,-,-,p,-,3,-,-,S,-,a,-,-,-,-,-,-,N,-,-,-,-,-,-,-
shee1238,-,-,-,-,-,-,-,s,-,a,-,-,-,-,-,-,n,-,-,-,-,-,-,-
pahn1237,-,-,-,-,-,-,-,7,-,a,n,-,-,o,-,-,N,-,-,-,-,-,-,-
pahn1237,-,-,-,-,-,-,-,-,-,-,n,-,-,u,-,-,N,-,-,-,-,-,-,-
youn1235,-,-,f,-,o,-,-,s,-,a,-,-,-,-,-,-,n,-,-,-,-,-,-,-
east2371,t,-,h,-,3,-,u,s,-,e,-,-,-,-,-,-,n,-,-,-,-,-,-,-
west2430,-,-,q,-,o,-,-,m,-,o,-,-,-,-,-,-,N,-,-,-,-,-,-,-
kimm1245,-,-,-,-,-,-,-,t,-,i,-,-,-,-,-,-,m,t,-,-,a,u,-,-
iumi1238,-,-,b,-,a,t,d,z,-,i,-,-,-,-,-,-,y,-,-,-,-,u,-,-
biao1254,-,-,-,-,-,-,-,S,-,E,-,-,-,-,-,-,n,-,-,-,-,-,-,-
dzao1238,-,-,-,-,-,-,-,b,-,i,-,-,-,-,-,-,N,-,-,-,-,-,-,-
sich1238,-,-,-,-,-,-,-,n,-,E,-,-,-,-,-,-,m,-,-,-,-,o,-,-
