language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
jion1236,k,-,-,-,a,-,-,8,y,u,-
shee1238,p,-,-,-,a,-,-,h,-,o,-
pahn1237,t,-,-,S,i,-,t,S,-,a,-
youn1235,t,-,-,-,i,-,-,n,-,a,N
east2371,p,a,-,-,i,-,-,S,-,a,N
west2430,k,o,t,S,i,-,-,-,-,-,-
east2370,-,-,-,-,-,-,-,t,-,e,-
nort2747,h,-,-,-,a,-,N,t,-,e,i
sout2754,q,-,-,-,a,-,-,t,-,o,-
nort2749,7,-,-,-,a,-,-,t,-,3,-
cent1394,h,-,-,-,o,-,N,t,-,u,-
luop1235,t,-,-,S,u,-,-,8,-,u,-
luop1235,t,-,-,-,3,-,-,z,-,u,-
larg1235,q,-,-,h,o,-,-,d,-,i,-
kimm1245,n,-,-,-,-,i,N,t,-,i,-
iumi1238,h,-,-,-,a,i,-,t,a,u,-
biao1254,x,-,-,-,a,-,-,S,-,E,n
dzao1238,p,-,-,-,a,-,-,k,-,u,i
east2363,k,-,-,-,-,-,-,y,-,3,u
east2363,t,-,-,-,i,-,-,y,-,3,i
liuq1235,m,-,-,-,o,-,N,Z,-,a,-
liuq1235,k,-,-,-,i,-,-,x,-,a,-
liuq1235,7,-,-,-,a,-,-,S,-,a,-
liuq1235,d,-,-,-,o,-,k,y,-,o,-
liuq1235,y,-,-,-,u,-,k,y,-,o,-
cent2009,k,-,-,y,E,-,k,r,-,3,u
cent2009,k,-,-,-,a,-,-,8,-,-,o
cent2009,k,-,-,-,i,-,-,r,-,3,u
sich1238,7,-,-,-,a,-,-,g,-,o,-
