language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
guan1279,-,-,-,-,-,f,-,a,-,-,-,i,-,-,-,-
xian1255,-,-,-,-,-,f,-,a,-,-,-,i,-,-,-,-
nann1239,-,-,-,-,-,f,-,a,-,-,-,i,-,-,-,-
yuet1238,-,-,-,-,-,f,-,-,-,-,-,i,-,-,-,-
guiy1235,-,-,-,-,-,f,-,e,-,-,-,i,-,-,-,-
wuha1234,-,-,-,-,-,f,-,e,-,-,-,i,-,-,-,-
chan1326,-,-,-,-,-,f,-,e,-,-,-,i,-,-,-,-
chen1267,-,-,-,-,-,f,-,e,-,-,-,i,-,-,-,-
kunm1234,-,-,-,-,-,f,-,e,-,-,-,i,-,-,-,-
hain1237,-,-,-,-,-,h,-,u,-,-,-,i,-,-,-,-
tuol1234,-,-,-,t,S,h,-,-,-,-,-,u,w,o,-,-
pand1262,-,-,-,-,-,p,-,-,-,-,-,u,w,3,t,-
sand1270,-,-,-,-,-,p,-,-,-,-,-,u,-,-,t,-
sand1270,-,-,-,-,-,p,-,-,-,-,-,u,-,-,t,-
east2363,-,-,-,-,-,f,-,3,-,-,-,i,-,-,-,-
east2363,-,-,-,-,-,p,-,-,-,-,-,3,-,-,t,-
liuq1235,-,-,-,-,-,f,-,3,-,-,-,i,-,-,-,-
liuq1235,-,-,-,-,-,p,-,-,-,-,-,3,-,-,t,-
liuq1235,-,-,-,-,-,p,-,-,-,-,-,o,-,-,t,-
cent2009,-,-,-,-,-,p,-,-,-,-,-,u,-,-,t,-
cent2009,-,-,-,-,-,p,-,-,-,-,-,u,-,-,t,-
cent2009,-,-,-,-,-,p,-,-,-,-,-,u,-,-,t,-
dong1287,-,-,-,-,-,7,-,a,-,-,8,o,-,-,-,-
numa1251,-,-,-,n,-,p,-,-,-,-,y,i,-,-,-,-
east2370,-,-,-,-,-,h,-,e,u,n,y,i,p,-,a,u
nort2747,-,-,-,-,-,f,-,h,u,-,z,E,p,-,h,o
sout2754,-,-,-,-,-,f,-,e,-,-,-,i,-,-,-,-
chua1248,-,-,-,n,t,S,-,-,-,-,-,u,-,-,-,-
larg1235,-,-,-,n,-,b,-,-,-,-,-,i,-,-,-,-
nort2749,-,-,-,n,-,p,l,-,-,-,-,u,-,-,-,-
cent1394,-,-,-,n,-,p,Z,3,-,-,-,u,-,-,-,-
luop1235,-,-,-,-,-,t,-,3,-,n,b,i,-,-,-,-
luop1235,-,-,-,-,-,f,-,e,-,-,-,i,-,-,-,-
jion1236,-,-,-,n,-,p,h,e,-,-,-,i,-,-,-,-
shee1238,-,-,-,-,-,-,f,-,-,-,-,u,-,-,n,-
pahn1237,7,a,-,-,-,p,h,-,-,-,-,o,-,-,-,-
pahn1237,q,a,i,n,-,p,y,a,-,-,-,u,-,-,-,-
youn1235,-,-,-,-,-,p,h,a,-,-,-,u,-,-,-,-
east2371,-,-,-,-,-,m,y,-,-,-,-,a,-,-,-,-
west2430,-,-,-,-,-,m,Z,-,-,-,-,3,-,-,-,-
kimm1245,-,-,-,k,-,h,l,-,-,-,-,o,-,-,m,-
iumi1238,-,-,-,-,-,p,h,-,-,-,-,o,-,-,m,-
biao1254,-,-,-,-,-,b,-,-,-,-,-,u,-,-,n,-
dzao1238,-,-,-,-,-,f,-,-,-,-,-,i,-,-,-,-
