language,x1,x2,x3,x4,x5
temb1276,-,p,-,o,-
xing1248,-,p,-,a,-
kama1373,-,h,w,a,-
waya1270,-,p,-,o,-
avac1239,-,p,-,o,-
kaya1329,-,p,-,o,-
east2555,-,p,-,o,-
para1311,-,p,-,o,-
mbya1239,-,p,-,o,-
guar1292,k,w,-,a,-
urub1250,-,p,-,o,-
nhen1239,-,p,-,u,-
amun1246,-,p,-,o,-
urue1240,-,p,-,o,-
tenh1241,-,k,-,o,-
emer1243,-,p,-,o,-
para1312,-,p,-,a,-
tapi1254,-,m,-,a,-
suru1262,-,p,-,o,-
guaj1256,-,p,-,o,-
araw1273,-,p,-,3,-
coca1259,-,p,-,u,a
omag1248,-,p,-,u,a
ache1246,-,p,-,o,-
xeta1241,-,p,-,a,-
yuqu1240,-,-,-,o,o
siri1273,-,-,-,o,-
sate1243,-,p,-,o,-
awet1244,-,p,-,o,-
