language,x1,x2,x3,x4,x5,x6,x7
temb1276,-,-,a,p,i,-,-
tupi1273,-,-,a,p,3,-,-
guaj1255,-,-,a,p,3,-,-
xing1248,-,-,a,p,3,-,-
kama1373,-,-,a,p,3,-,-
urub1250,-,-,a,p,3,-,-
waya1270,-,a,a,p,3,-,-
avac1239,-,-,a,p,3,-,-
east2555,-,-,a,p,3,-,-
para1311,-,-,a,p,3,-,-
mbya1239,-,-,a,p,3,-,-
guar1292,-,-,a,p,3,-,-
nhen1239,-,s,a,p,i,-,-
kaya1329,-,-,a,p,3,-,-
amun1246,-,-,a,p,3,-,-
urue1240,-,-,a,p,3,-,-
tenh1241,-,-,a,p,3,-,-
paus1244,-,-,a,p,i,-,-
emer1243,-,-,a,p,3,-,-
toca1235,-,-,a,p,3,-,-
para1312,-,-,a,p,3,-,-
tapi1254,-,-,a,p,3,-,-
suru1262,-,-,a,p,3,-,-
araw1273,-,-,-,m,e,n,i
coca1259,u,k,-,i,-,-,-
omag1248,u,k,a,y,-,-,-
yuqu1240,-,s,a,y,-,-,-
siri1273,-,-,e,i,-,-,-
sate1243,-,-,-,w,u,k,-
awet1244,-,-,a,p,3,-,-
