language,x1,x2,x3,x4,x5,x6
temb1276,-,k,-,e,r,-
xing1248,-,k,-,i,t,-
kama1373,-,k,-,e,t,-
waya1270,-,k,-,e,-,-
avac1239,-,k,-,e,r,-
kaya1329,-,s,-,e,r,-
east2555,-,k,-,e,-,-
para1311,-,k,-,e,-,-
mbya1239,-,k,-,e,-,-
guar1292,-,k,-,e,r,-
urub1250,-,S,-,e,r,-
nhen1239,-,k,-,i,r,i
amun1246,-,C,-,i,r,a
urue1240,-,C,-,i,r,a
tenh1241,-,k,-,i,r,a
emer1243,-,k,-,e,r,-
toca1235,-,k,-,e,n,-
para1312,-,k,-,e,n,-
tapi1254,-,k,-,e,t,-
guaj1256,-,k,-,e,r,e
araw1273,-,C,-,e,-,-
coca1259,-,k,-,3,r,3
omag1248,o,k,-,3,r,3
ache1246,-,k,-,e,-,-
xeta1241,-,k,-,e,-,-
yuqu1240,-,k,y,e,-,-
siri1273,-,k,-,e,-,-
sate1243,-,k,-,e,t,-
awet1244,-,t,-,e,t,-
