language,x1,x2,x3,x4,x5
temb1276,-,-,i,k,e
xing1248,d,Z,e,k,i
kama1373,-,-,i,c,e
waya1270,-,-,-,k,e
avac1239,-,-,i,k,e
kaya1329,-,-,-,s,e
east2555,-,-,i,k,e
para1311,-,-,i,k,e
mbya1239,-,-,i,k,e
guar1292,-,-,i,k,e
urub1250,-,-,-,S,e
nhen1239,-,-,i,k,e
amun1246,-,-,-,k,i
urue1240,-,-,-,k,i
tenh1241,-,-,-,k,i
emer1243,-,-,i,k,e
toca1235,-,-,-,k,e
para1312,-,-,-,k,e
tapi1254,-,-,-,k,e
suru1262,-,-,-,k,e
guaj1256,-,w,u,C,i
araw1273,-,-,-,y,e
coca1259,-,-,a,k,i
omag1248,-,-,a,k,i
yuqu1240,-,-,-,k,e
siri1273,-,-,3,k,e
sate1243,-,-,e,k,e
awet1244,-,-,e,c,e
