language,x1,x2,x3,x4,x5
suri1265,d,-,o,-,r
cent1989,d,a,o,-,-
khmu1256,y,7,o,-,h
monn1253,k,w,a,i,k
semn1250,T,-,i,-,b
semn1250,T,-,i,-,p
lano1248,T,-,i,-,p
temi1246,T,-,i,-,p
temi1246,T,-,i,-,b
sema1266,T,-,i,-,p
sema1266,T,-,i,-,p
jahh1242,T,-,i,-,p
minr1238,T,-,3,-,p
minr1238,T,-,3,-,p
bate1262,T,-,3,-,p
bate1262,T,-,3,-,p
bate1262,T,-,3,-,p
bate1262,T,-,i,-,p
bate1262,T,-,3,-,p
jeha1242,T,-,3,-,p
jeha1242,T,-,3,-,p
kens1248,T,-,3,-,p
kens1248,T,-,3,-,p
kint1239,T,-,3,-,p
tong1308,w,-,a,-,-
tong1308,w,-,a,-,h
tong1308,w,-,a,-,h
chew1245,T,-,3,-,p
sema1265,s,w,a,-,k
sema1265,s,w,a,-,k
seme1247,s,w,a,-,k
besi1244,T,-,o,-,7
