language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
tupa1250,-,-,-,7,-,o,-,-,-,m,-,-
wayo1238,-,-,-,-,-,o,-,-,-,m,-,-
akun1241,-,-,-,n,-,o,-,-,-,m,-,-
saki1248,-,-,-,n,-,o,-,-,-,p,-,-
maku1278,-,-,-,-,-,-,-,-,-,p,i,t
mund1330,-,-,-,N,3,3,-,-,-,-,-,-
para1311,-,-,-,n,d,i,-,-,-,-,-,-
urub1250,-,-,-,-,-,3,-,-,-,m,-,-
pari1258,-,-,-,n,-,i,-,-,-,-,-,-
tapi1254,-,-,-,n,-,i,-,-,-,-,-,-
awet1244,-,a,-,n,-,-,-,-,-,-,-,-
sate1243,-,3,t,7,-,i,-,-,-,-,-,-
karo1305,-,i,-,7,k,e,-,-,-,-,-,-
puru1264,-,-,-,n,-,o,-,-,-,-,-,-
gavi1246,-,-,-,-,-,o,-,o,o,p,-,-
zoro1244,-,-,-,-,-,o,-,o,o,p,-,-
arua1261,-,-,-,-,-,o,-,o,o,p,-,-
sala1273,-,-,-,-,-,a,7,o,-,-,-,-
kari1311,p,a,d,n,-,i,-,-,-,-,-,-
juru1256,-,-,-,m,-,a,-,-,-,-,-,-
juru1256,-,-,-,-,-,a,-,u,-,-,-,-
xipa1240,-,-,-,m,-,a,-,-,-,-,-,-
xipa1240,-,-,-,-,-,a,-,u,-,-,-,-
