language,x1,x2,x3,x4,x5,x6,x7
tupa1250,-,-,-,-,e,t,-
wayo1238,-,n,d,-,e,t,-
akun1241,-,-,-,-,e,t,-
saki1248,-,-,-,-,e,t,-
maku1278,-,-,-,-,e,t,-
mund1330,b,3,t,e,e,t,-
mund1330,p,3,t,e,e,t,-
para1311,-,-,t,-,e,r,a
urub1250,-,-,h,-,e,r,-
tapi1254,-,-,-,-,e,t,-
awet1244,-,-,-,-,e,t,-
sate1243,-,-,s,-,e,t,-
sate1243,-,-,h,-,e,t,-
karo1305,-,-,T,-,e,t,-
puru1264,-,-,t,-,e,t,-
arua1261,-,t,s,e,e,t,-
arua1261,-,d,z,e,e,t,-
gavi1246,-,t,s,e,e,t,-
gavi1246,-,d,z,e,e,t,-
suru1262,-,-,L,e,e,t,-
suru1262,-,-,L,e,e,t,-
kari1311,-,-,s,-,a,t,-
juru1256,-,-,z,a,a,-,-
