language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
tupa1250,-,-,-,-,-,k,3,y,a,m,7,i,r,-,i,-,-,-,-,-,-,-
wayo1238,5,u,-,-,-,k,3,-,-,-,-,-,r,-,a,-,-,-,-,-,-,-
akun1241,-,-,-,-,-,p,i,-,-,-,-,-,r,-,e,-,-,-,-,-,-,-
saki1248,-,o,-,-,-,k,3,-,-,-,-,-,r,-,a,-,-,-,-,-,-,-
maku1278,m,o,-,-,-,k,i,-,-,-,-,-,r,-,a,-,-,-,-,-,-,-
kuru1309,-,-,-,-,-,-,-,-,o,-,-,-,s,-,i,-,-,-,-,-,-,-
mund1330,-,-,-,-,-,w,a,-,a,-,-,-,s,-,3,-,-,-,-,-,-,-
para1311,g,-,-,-,-,w,3,-,-,-,-,-,r,-,a,-,-,-,-,-,-,-
urub1250,-,-,-,-,-,w,3,-,-,-,-,-,r,-,a,-,-,-,-,-,-,-
pari1258,g,-,-,-,-,w,3,-,-,-,-,-,r,-,a,-,-,-,-,-,-,-
tapi1254,-,-,-,-,-,w,3,-,-,-,-,-,r,-,a,-,-,h,i,-,-,-
awet1244,-,-,-,-,-,k,a,-,-,-,-,-,r,-,a,-,-,7,3,p,u,t
sate1243,-,-,-,-,-,w,e,-,i,-,-,-,t,-,a,-,-,-,-,-,-,-
karo1305,-,-,-,-,-,-,i,-,-,-,-,-,y,-,a,-,-,7,3,p,-,-
puru1264,m,a,-,-,-,S,a,-,-,-,-,-,y,-,a,-,-,-,-,-,-,-
gavi1246,-,-,-,-,-,-,i,-,i,-,-,-,d,-,i,i,i,t,-,-,-,-
arua1261,-,-,-,-,-,-,i,-,i,-,-,-,d,-,3,-,-,t,-,-,-,-
suru1262,-,-,-,-,-,-,i,-,i,-,-,-,y,-,3,-,-,t,-,-,-,-
kari1311,p,a,-,-,-,p,3,-,-,-,-,-,d,n,a,-,-,-,-,-,-,-
juru1256,-,u,S,i,i,S,i,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
xipa1240,-,-,-,-,-,-,i,-,-,-,-,-,t,-,i,-,-,-,-,-,-,-
