language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
tupa1250,-,-,-,-,-,-,-,-,-,-,-,-,-,e,r,o,t,e,-,-,-,-,-
wayo1238,n,d,-,-,-,-,-,-,-,-,-,-,-,e,g,-,-,e,-,-,-,-,-
saki1248,-,p,-,-,-,-,a,-,-,-,-,-,-,e,s,-,-,e,-,-,t,-,-
maku1278,-,b,-,-,-,-,-,-,-,-,-,-,-,i,b,-,m,o,-,-,-,-,-
kuru1309,-,p,-,-,-,-,-,-,-,-,-,-,-,o,-,o,-,a,-,-,m,-,-
mund1330,-,s,-,-,-,-,-,-,-,-,-,-,-,o,-,o,-,a,-,-,t,-,-
para1311,-,-,-,-,-,-,-,-,-,-,-,-,-,o,p,-,-,a,-,-,-,-,-
urub1250,-,y,-,-,-,-,-,-,-,-,-,-,-,o,h,-,-,u,-,-,-,-,-
pari1258,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,a,-,-,v,e,i
awet1244,-,n,-,-,-,-,a,-,-,-,-,m,-,a,p,-,-,3,-,-,t,e,-
sate1243,-,t,-,-,-,-,-,-,-,-,-,-,-,o,r,-,-,a,-,-,n,i,a
karo1305,-,-,-,-,-,-,i,-,-,-,-,-,-,a,k,-,-,a,t,i,m,-,-
gavi1246,-,k,-,-,-,-,i,i,r,i,i,y,a,a,-,-,-,a,-,-,-,-,-
zoro1244,-,-,-,-,-,-,-,-,-,-,-,s,-,o,p,-,-,o,-,-,p,-,-
arua1261,-,b,-,-,-,-,e,e,r,-,-,-,-,-,-,-,-,e,-,-,p,-,-
sala1273,-,-,-,-,-,-,-,-,-,-,-,s,o,o,p,-,-,o,-,o,y,-,-
suru1262,-,b,a,g,a,t,e,e,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-
juru1256,-,b,-,-,-,-,i,-,-,-,-,t,e,e,h,-,-,u,-,-,-,-,-
xipa1240,-,k,-,-,-,-,i,-,-,-,-,-,-,-,w,-,-,i,-,-,-,-,-
