language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
kala1377,-,-,-,-,n,-,-,a,-,-,-,-,-,-,-,-,d,-,-,-,a,-,-,-,-,-,-,-,-,i,-,-,-,-,-
kuku1273,m,a,-,-,T,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kalk1246,-,i,-,-,T,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gurd1238,l,i,-,-,d,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-
dier1241,-,-,-,-,m,-,-,a,-,-,n,d,a,t,a,-,r,-,-,-,i,t,-,-,-,-,-,-,-,a,-,-,-,-,-
kaur1267,-,-,-,-,p,-,-,a,-,-,i,-,-,-,a,i,d,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
adny1235,-,-,-,-,v,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,y,k,-,-,-,-,-,-,-,a,-,-,-,-,-
darl1243,-,-,-,-,m,-,-,a,-,-,n,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
waja1257,-,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,T,a,m,a,4,-,a,-,-,-,-,-
yind1247,-,-,-,-,m,-,-,u,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,T,-,-,u,-,g,u,-,-,-,-,-
ngar1287,-,-,-,-,b,-,-,i,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,y,-,-,-,-,-,a,-,-,-,-,-
dhal1245,-,-,-,-,k,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,y,-,-,a,l,g,i,-,-,n,-,-
nort2754,-,-,-,-,T,-,-,a,-,-,p,-,-,-,a,-,l,-,y,p,i,n,-,-,-,-,-,-,-,i,-,-,-,-,-
nyan1301,-,-,-,-,T,-,-,a,-,-,p,-,-,-,a,-,l,-,y,p,i,n,-,-,-,-,-,-,-,i,-,-,-,-,-
kara1476,-,-,-,d,T,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,i,-,-,-,-,-
kara1476,-,-,-,d,T,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,i,-,-,-,-,-
yulp1238,-,-,-,-,T,-,-,a,-,-,p,-,-,-,u,-,l,-,-,-,u,p,u,w,-,-,-,-,-,a,-,-,-,-,-
kuka1246,-,-,-,-,N,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
ngaa1240,-,-,-,-,-,-,-,-,-,-,5,-,-,-,u,-,l,-,-,-,-,-,t,T,-,-,a,r,-,a,-,-,-,-,-
pint1251,-,-,-,-,-,-,-,-,-,-,n,-,-,-,u,-,l,-,-,-,-,-,t,T,-,-,-,-,-,a,-,-,-,-,-
pitj1243,-,-,-,-,m,-,-,u,-,-,N,-,-,-,u,-,n,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
pint1250,-,-,-,t,T,-,-,a,-,-,N,-,-,-,u,-,r,-,-,-,u,5,t,T,-,-,-,-,-,a,-,-,-,-,-
jaru1254,-,-,-,d,T,-,-,a,-,-,N,-,-,-,a,-,d,-,-,b,a,n,-,-,-,-,-,-,-,a,-,-,-,-,-
ngar1235,m,u,-,r,g,-,-,a,r,-,-,-,-,-,a,-,5,-,-,-,a,5,-,-,-,-,-,-,-,a,-,-,-,-,-
guri1247,m,u,-,r,k,-,-,a,r,a,N,-,-,-,a,-,n,-,-,-,a,n,-,-,-,-,-,-,-,a,-,-,-,-,-
mudb1240,5,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,a,-,-,m,b,i
warl1254,-,-,-,-,T,-,-,a,-,-,m,-,-,-,-,-,p,-,-,-,a,L,-,-,-,-,-,-,-,-,-,-,-,-,-
waru1265,p,u,n,T,T,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-
nyun1247,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,l,-,g,-,u,n,-,-,-,-,-,-,-,-,-,-,-,-,-
