language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
east2333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,e,-,-,h
maaa1253,-,-,-,-,-,b,-,-,-,-,u,-,-,-,-,n,-,-,u,d,Z,h
maaa1253,-,-,-,-,-,b,-,-,-,-,u,-,-,-,-,n,-,-,u,d,Z,h
bulo1242,-,-,-,-,-,b,-,-,-,-,3,-,-,-,-,n,-,-,E,-,-,h
chra1242,t,a,-,-,-,m,-,-,-,-,u,-,-,-,-,n,-,-,-,-,-,-
sree1244,-,-,-,-,-,T,t,s,-,-,a,-,-,-,-,-,-,-,u,-,-,-
chil1279,-,-,-,-,-,m,-,-,-,-,3,-,-,-,-,n,-,-,u,d,Z,h
tamp1251,-,-,-,-,-,p,-,-,-,-,3,-,-,-,-,n,-,-,o,-,i,h
nyah1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,u,d,Z,h
lave1248,-,-,-,-,-,p,-,-,-,-,3,-,-,-,-,n,-,-,u,d,Z,h
oyyy1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,a,-,y,-
tali1257,-,-,-,-,-,p,-,-,-,-,3,-,-,-,-,N,-,-,a,-,y,-
alak1253,-,-,-,-,-,p,-,-,-,-,3,-,-,-,r,N,h,3,a,-,y,-
cuaa1241,-,-,-,-,-,m,-,-,-,-,3,-,-,-,-,n,-,-,i,-,-,h
todr1244,-,-,-,-,-,m,-,-,-,-,3,-,-,-,-,N,-,-,e,-,i,-
katu1272,-,-,-,-,-,m,-,-,-,-,3,-,-,-,-,n,-,-,3,d,Z,h
west2398,k,-,-,h,k,h,-,-,-,-,u,-,-,-,-,-,-,-,-,-,y,-
west2398,t,a,k,h,k,h,-,-,-,-,u,-,-,-,-,-,-,-,-,-,y,-
ngeq1245,k,a,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,-,-,t,-
sooo1254,l,a,-,-,-,k,-,-,-,-,u,-,-,-,-,w,-,-,e,-,y,-
trii1240,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,-,-,-,3,-,i,-
phon1246,-,-,-,-,-,7,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,h
nyah1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,a,-,-,h
monn1252,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,n,-,-,i,-,-,h
sema1266,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,N,7,o,o,-,-,y
temi1246,-,-,-,-,-,s,-,-,-,-,E,-,-,-,-,n,7,-,o,-,-,y
jahh1242,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,Z,-,-,a,-,-,h
kens1248,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,n,-,-,i,-,-,7
jeha1242,-,-,-,-,-,m,-,-,-,-,3,-,-,-,-,n,r,-,a,-,-,7
seme1247,-,-,-,-,-,s,-,-,-,-,3,-,-,-,-,m,-,-,a,-,-,7
sema1265,-,-,-,-,-,s,-,-,-,-,a,-,-,-,-,m,-,-,a,-,-,7
cent1989,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,n,-,-,u,-,-,s
nort2684,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,n,-,-,3,-,-,h
mlab1235,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,l,-,-,a,-,-,-
rucc1239,-,-,-,-,-,N,-,-,-,-,a,-,-,-,-,-,-,-,-,-,y,-
mali1278,-,-,-,-,-,m,-,-,-,-,3,-,-,-,-,l,-,-,i,e,N,-
aheu1239,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,-,-,-,-,-,n,-
viet1252,-,-,-,-,-,n,-,g,u,o,o,-,-,-,-,-,-,-,-,-,i,-
ruch1235,-,-,-,-,-,t,-,-,-,-,u,-,-,-,-,7,-,-,i,-,-,-
ruma1248,-,-,-,-,-,t,-,-,-,-,e,-,-,-,-,-,-,-,i,-,-,-
huuu1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-
khan1274,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,n
bitt1240,-,-,-,-,-,p,-,-,-,-,u,-,-,-,-,S,-,-,i,-,-,N
puoc1238,k,-,-,s,-,k,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,N
mang1378,-,-,-,-,-,h,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
nanc1247,-,-,-,-,-,p,-,-,-,-,a,-,-,-,-,y,-,u,u,-,-,h
carn1240,-,-,-,-,-,t,-,-,-,-,a,-,-,-,-,r,-,-,i,-,-,k
khar1287,-,-,-,-,-,k,-,-,-,-,a,-,-,-,r,r,-,-,-,-,-,-
juan1238,l,u,-,-,-,k,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-
sant1410,-,-,-,-,-,h,-,-,-,-,o,-,-,-,r,r,-,-,-,-,-,-
mund1320,-,-,-,-,-,h,-,-,-,-,o,-,-,-,r,r,-,-,o,-,-,-
kork1243,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,r,-,-,o,-,-,-
sora1254,-,-,-,-,-,m,-,-,-,-,a,n,d,n,d,r,-,-,a,-,-,-
pare1266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,o,-,-,k
bond1245,r,e,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-
khas1269,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,r,-,-,i,-,-,w
