language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
east2333,-,-,-,-,7,-,-,i,-,-,-,-,-,-,k,-,-,-,-
maaa1253,-,-,-,-,r,-,-,3,-,N,-,e,-,-,t,-,-,-,-
maaa1253,n,-,-,7,d,-,-,i,-,-,-,-,-,-,k,-,-,-,-
bulo1242,-,-,-,7,l,-,-,i,-,-,-,-,-,-,k,-,-,-,-
chra1242,-,-,-,-,t,-,-,a,-,k,a,a,-,-,t,-,-,-,-
sree1244,-,-,-,m,r,-,-,-,-,-,-,i,-,-,t,-,-,-,-
chil1279,-,-,-,-,r,-,-,3,-,N,-,e,-,-,t,-,-,-,-
tamp1251,-,-,-,-,l,-,-,-,-,7,-,o,-,-,t,-,-,-,-
nyah1249,-,-,-,-,r,-,-,-,-,-,-,a,-,-,h,-,-,-,-
lave1248,-,-,-,-,b,-,-,u,-,-,-,a,-,-,t,-,-,-,-
oyyy1238,-,-,-,d,l,-,-,-,-,-,-,i,-,-,m,-,-,-,-
tali1257,-,-,-,-,r,-,-,i,-,-,-,a,-,-,l,-,-,-,-
alak1253,-,-,-,h,7,-,-,-,-,-,-,3,-,-,t,-,-,-,-
cuaa1241,-,-,-,-,d,-,Z,3,-,l,-,E,-,-,k,-,-,-,-
katu1272,-,-,-,-,T,t,s,3,-,r,-,o,-,-,7,-,-,-,-
west2398,-,-,-,-,k,-,-,-,-,r,-,o,-,-,l,-,-,-,-
ngeq1245,-,-,-,-,N,-,-,-,-,-,-,o,-,-,r,-,-,-,-
trii1240,-,-,-,-,s,-,-,a,-,N,-,E,-,-,t,-,-,-,-
paco1243,-,-,-,-,t,-,-,3,-,N,-,a,-,-,n,-,-,-,-
monn1252,-,-,-,-,m,-,-,-,-,-,-,u,-,-,h,-,-,-,-
sema1266,-,-,-,-,s,-,-,-,-,N,-,E,-,T,t,-,s,-,-
temi1246,-,-,-,-,s,-,-,e,-,N,-,e,-,-,d,-,-,-,-
jahh1242,-,-,-,-,s,-,-,3,-,d,-,E,-,T,t,-,s,-,-
kens1248,-,-,-,-,h,-,-,3,-,5,-,e,-,-,t,-,-,-,-
jeha1242,-,-,-,-,t,-,-,3,m,k,-,E,-,-,t,-,-,-,-
seme1247,-,-,-,-,s,-,-,3,-,d,-,3,-,T,t,-,s,-,-
sema1265,-,-,-,-,s,-,-,3,-,d,-,3,-,T,t,-,s,-,-
cent1989,-,-,-,-,t,-,r,3,d,Z,-,o,-,-,k,-,-,-,-
nort2684,-,-,-,-,t,-,T,i,-,-,-,3,-,-,7,-,-,-,-
mlab1235,-,-,-,-,t,-,-,a,-,k,-,a,-,-,t,-,-,-,-
rucc1239,-,-,-,-,l,-,-,u,-,b,-,a,-,-,t,-,-,-,-
mali1278,-,-,-,a,l,-,-,-,-,-,-,a,-,-,N,-,-,-,-
aheu1239,-,-,-,-,5,-,-,-,-,-,-,o,-,-,n,-,-,-,-
viet1252,-,-,-,-,l,-,-,-,-,-,-,a,n,h,n,-,-,-,-
ruch1235,-,-,-,-,k,-,-,-,-,-,-,a,-,-,t,-,-,-,-
ruma1248,-,-,-,-,k,-,-,-,-,-,a,a,-,-,-,-,-,-,-
huuu1240,-,-,-,-,k,-,-,h,-,k,h,a,-,-,t,-,-,-,-
khan1274,-,-,-,-,7,-,-,a,-,N,-,-,-,-,-,-,-,-,-
bitt1240,-,-,-,-,t,-,-,3,-,k,-,a,-,-,t,-,-,-,-
puoc1238,-,-,-,-,t,-,-,3,-,k,-,a,-,-,t,-,-,-,-
mang1378,-,-,-,-,d,-,-,-,-,-,-,e,-,-,m,-,-,-,-
nanc1247,-,-,-,-,p,-,-,a,-,T,-,a,-,-,w,-,-,-,-
carn1240,-,-,-,-,-,-,-,u,-,f,-,o,-,-,v,-,-,-,-
khar1287,-,-,-,-,r,-,-,a,N,g,-,a,-,-,-,-,-,-,-
sant1410,-,-,-,-,r,-,-,e,-,y,-,a,-,-,r,-,-,-,-
mund1320,-,-,-,-,t,-,-,u,-,-,-,-,-,-,t,u,k,u,n
kork1243,-,-,-,-,r,-,-,a,-,b,-,a,-,-,n,-,-,-,-
sora1254,-,-,-,-,r,-,a,a,-,N,-,a,-,-,-,-,-,-,-
pare1266,-,-,-,-,z,-,-,e,-,N,-,-,-,-,-,-,-,-,-
bond1245,-,-,-,-,s,-,-,e,-,p,-,-,-,-,-,-,-,-,-
khas1269,k,h,k,h,r,-,-,i,-,-,-,a,-,-,t,-,-,-,-
buga1247,-,-,-,-,l,-,-,o,-,-,-,u,-,-,-,-,-,-,-
jehh1245,-,-,-,-,r,-,-,-,-,-,-,3,-,-,t,e,h,-,-
