language,x1,x2,x3,x4,x5,x6
kumy1244,-,a,x,a,-,C
noga1249,-,a,x,a,-,S
kara1464,-,a,x,a,t,s
kara1465,-,a,x,a,t,S
kara1467,-,a,x,a,-,S
kaza1248,-,a,x,a,-,S
kirg1245,j,u,x,a,-,C
uigh1240,y,a,x,a,t,S
bash1264,-,a,x,a,-,s
nort2686,-,a,x,a,-,S
sout2694,-,a,x,a,-,S
crim1257,-,a,x,a,t,S
gaga1249,-,a,-,-,t,S
nort2697,-,a,x,a,t,S
turk1304,-,a,x,a,t,S
khak1248,-,a,x,a,-,s
shor1247,-,a,x,a,-,S
sala1264,-,a,x,a,t,S
west2402,y,u,x,a,-,S
turk1303,h,a,x,a,t,S
tuvi1240,-,u,y,a,-,S
dolg1241,m,a,-,-,-,s
yaku1245,m,a,-,-,-,s
chuv1255,y,u,v,3,-,S
