language,x1,x2,x3,x4,x5,x6,x7,x8
kumy1244,m,i,-,y,-,i,z,-
noga1249,m,i,-,y,-,i,z,-
kara1464,m,i,-,N,-,i,z,-
kara1465,m,i,-,y,-,i,z,-
kara1467,m,i,-,y,-,i,z,-
kaza1248,m,i,-,y,-,i,z,-
kirg1245,m,i,-,y,-,i,z,-
uigh1240,m,i,N,g,-,i,z,-
bash1264,m,e,-,g,-,e,8,-
nort2686,m,i,-,-,-,i,s,-
sout2694,m,i,-,-,-,i,s,-
crim1257,b,o,-,y,n,u,z,-
gaga1249,b,u,-,y,n,u,z,-
nort2697,b,u,-,y,n,u,z,-
khak1248,m,i,-,-,-,i,s,-
shor1247,m,-,-,-,-,i,s,-
sala1264,m,o,-,N,-,u,s,-
west2402,m,o,-,N,-,u,s,-
tuvi1240,m,u,-,y,-,3,s,-
dolg1241,m,u,-,-,-,o,s,-
yaku1245,m,u,-,-,-,o,s,-
chuv1255,m,o,-,y,r,a,g,a
