language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
kumy1244,-,-,t,-,i,-,n,e,-,g,i,n,-
kumy1244,-,-,t,-,i,-,n,e,-,g,i,n,-
noga1249,-,-,t,-,i,-,n,e,-,g,i,n,-
noga1249,-,-,t,-,i,-,n,e,-,g,i,n,-
kara1464,-,-,t,-,i,-,n,e,-,g,i,n,-
kara1464,-,-,t,-,i,-,n,e,-,g,i,n,-
kara1465,-,-,t,-,i,-,n,e,-,-,-,n,e
kara1467,-,-,k,-,-,-,-,e,-,S,e,-,-
kaza1248,-,-,k,-,-,-,-,e,-,S,e,-,-
kirg1245,-,-,k,-,-,-,-,e,t,S,e,-,-
uzbe1247,k,e,t,S,a,-,-,-,-,-,-,-,-
uigh1240,-,-,t,-,i,-,n,i,-,g,i,n,-
uigh1240,-,-,t,-,i,-,n,i,-,g,i,n,-
bash1264,-,-,k,-,i,-,s,E,-,g,e,-,-
midd1325,-,-,k,-,i,t,S,-,-,-,E,-,-
nort2686,-,-,k,-,-,-,-,e,-,j,e,-,-
sout2694,-,-,k,-,-,-,-,e,t,S,e,-,-
gaga1249,-,-,d,-,-,-,-,-,-,-,i,n,-
anat1259,-,-,d,-,-,-,-,-,-,-,i,n,-
crim1257,-,-,t,-,i,-,n,e,-,v,i,n,-
crim1257,-,-,t,-,i,-,n,e,-,v,i,n,-
nort2697,-,-,d,-,i,-,n,E,-,-,-,n,-
turk1304,-,-,d,-,i,-,-,-,-,-,y,n,-
sala1264,-,-,k,-,-,-,-,e,-,j,e,-,-
west2402,-,-,t,-,u,-,-,-,-,x,u,n,-
khak1248,-,-,k,-,-,-,-,i,-,j,e,-,-
shor1247,-,-,k,-,-,-,-,e,t,S,e,-,-
midd1324,-,-,k,-,-,-,-,E,-,j,e,-,-
tuvi1240,-,-,d,-,-,-,-,-,-,-,i,n,-
tofa1248,-,-,d,-,-,-,-,-,-,-,i,n,-
turk1303,-,-,-,-,E,-,N,-,-,g,i,r,-
dolg1241,-,-,b,-,e,-,g,e,-,h,e,-,-
dolg1241,-,-,b,-,e,-,g,e,-,h,e,-,-
yaku1245,-,-,b,-,e,-,x,e,-,h,e,-,-
yaku1245,-,-,b,-,e,-,x,e,-,h,e,-,-
chuv1255,-,-,-,-,i,-,n,e,-,r,-,-,-
