language,x1,x2,x3,x4,x5
kumy1244,q,o,l,-,-
noga1249,q,o,l,-,-
kara1464,b,i,l,e,k
kara1464,k,o,l,-,-
kara1465,b,i,l,e,k
kara1465,q,o,l,-,-
kara1467,q,o,l,-,-
kaza1248,q,o,l,-,-
kirg1245,q,o,l,-,-
uzbe1247,q,o,l,-,-
uigh1240,q,o,l,-,-
bash1264,q,u,l,-,-
midd1325,q,u,l,-,-
bara1273,q,o,l,-,-
nort2686,q,o,l,-,-
sout2694,q,o,l,-,-
oldu1238,-,e,l,i,g
oldu1238,q,o,l,-,-
gaga1249,-,e,l,-,-
gaga1249,k,o,l,-,-
anat1259,-,e,l,-,-
anat1259,k,o,l,-,-
crim1257,-,e,l,-,-
crim1257,q,o,l,-,-
nort2697,-,E,l,-,-
nort2697,G,o,l,-,-
turk1304,-,e,l,-,-
turk1304,G,o,l,-,-
sala1264,-,e,l,-,-
sala1264,q,o,l,-,-
west2402,-,e,l,u,x
west2402,q,o,l,-,-
khak1248,X,o,l,-,-
shor1247,q,o,l,-,-
midd1324,q,o,l,-,-
tuvi1240,X,o,l,-,-
tofa1248,q,o,l,-,-
turk1303,-,E,l,-,-
turk1303,q,o,l,-,-
dolg1241,-,i,l,i,-
yaku1245,-,i,l,i,-
chuv1255,-,a,l,3,-
chuv1255,X,u,l,-,-
