language,x1,x2,x3,x4,x5,x6,x7
kumy1244,-,u,t,-,S,-,-
noga1249,-,u,-,-,S,-,-
kara1464,-,u,t,-,S,-,-
kara1465,-,u,t,-,S,-,-
kara1467,-,u,-,-,S,-,-
kaza1248,-,u,-,-,S,-,-
kirg1245,-,u,t,-,S,-,-
uigh1240,-,u,t,-,S,-,-
bash1264,-,o,-,-,s,-,-
nort2686,-,u,-,-,C,-,-
sout2694,-,u,t,-,S,-,-
crim1257,-,u,t,-,S,-,-
gaga1249,-,u,t,-,S,-,-
nort2697,-,u,t,-,S,-,-
turk1304,-,u,t,-,S,-,-
khak1248,-,u,t,-,S,u,X
shor1247,-,u,t,-,S,u,q
sala1264,-,u,t,-,S,-,-
west2402,-,u,-,-,S,-,-
turk1303,-,u,t,-,S,-,-
tuvi1240,-,u,-,-,S,-,-
dolg1241,k,e,t,-,-,-,-
yaku1245,k,e,t,-,-,-,-
chuv1255,-,-,v,e,S,-,-
