language,x1,x2,x3,x4,x5,x6,x7,x8
kumy1244,e,S,i,t,-,-,-,-
noga1249,e,s,i,t,-,-,-,-
kara1464,e,s,i,t,-,-,-,-
kara1465,e,S,i,t,-,-,-,-
kara1467,e,s,i,t,-,-,-,-
kaza1248,e,s,i,t,-,-,-,-
kirg1245,-,-,u,q,-,-,-,-
uigh1240,i,S,i,t,-,-,-,-
bash1264,i,S,e,t,-,-,-,-
nort2686,-,-,u,q,-,-,-,-
sout2694,-,-,u,q,-,-,-,-
crim1257,e,S,i,t,-,-,-,-
gaga1249,i,S,i,t,-,-,-,-
nort2697,e,S,i,t,-,-,-,-
turk1304,e,S,i,t,-,-,-,-
khak1248,i,-,-,s,-,-,-,-
shor1247,u,-,-,q,-,-,-,-
sala1264,i,S,-,t,i,-,-,-
west2402,-,-,-,t,i,-,n,a
turk1303,i,S,i,t,-,-,-,-
tuvi1240,-,-,-,d,u,N,n,a
dolg1241,i,h,i,t,-,-,-,-
yaku1245,i,h,i,t,-,-,-,-
chuv1255,i,l,-,t,-,-,-,-
