language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
kumy1244,-,-,-,-,j,i,-,b,i,n,-,-
noga1249,-,-,-,-,S,u,-,b,u,n,-,-
kara1464,-,-,-,t,s,i,-,b,i,n,-,-
kara1465,-,-,-,t,S,i,-,b,i,n,-,-
kara1467,-,-,-,-,S,u,-,b,u,n,-,-
kaza1248,-,-,-,-,S,u,-,b,u,n,-,-
kirg1245,-,-,-,t,S,u,-,m,u,n,-,-
uigh1240,-,-,-,t,S,i,-,v,i,n,-,-
bash1264,-,-,-,-,s,e,-,b,e,n,-,-
nort2686,-,-,-,k,-,e,-,g,e,n,-,-
sout2694,-,-,-,t,S,u,-,m,u,n,-,-
crim1257,-,-,-,t,S,i,-,b,i,n,-,-
gaga1249,-,-,-,-,s,-,-,-,i,n,e,k
turk1304,-,-,-,-,s,-,-,-,i,N,e,k
khak1248,-,-,-,-,s,e,-,-,e,k,-,-
sala1264,p,o,h,t,S,i,-,-,i,n,-,-
west2402,-,-,-,t,S,i,-,v,i,n,-,-
turk1303,-,-,-,-,g,u,d,x,u,-,-,-
tuvi1240,-,-,-,-,s,e,-,-,e,k,-,-
dolg1241,h,a,-,k,s,u,r,g,a,-,-,-
yaku1245,s,a,-,X,s,u,r,x,a,-,-,-
chuv1255,-,-,-,-,S,-,-,-,3,n,a,-
