language,x1,x2,x3,x4,x5,x6,x7,x8,x9
kumy1244,t,e,r,e,-,-,-,-,k
noga1249,t,e,r,e,-,-,-,-,k
kara1464,t,e,r,E,-,-,-,-,k
kara1465,t,e,r,e,-,-,-,-,k
kara1467,-,a,x,a,-,-,-,-,S
kaza1248,-,a,x,a,-,-,-,-,S
kirg1245,j,u,x,a,-,-,-,-,C
uigh1240,y,a,x,a,t,-,-,-,S
bash1264,-,a,x,a,-,-,-,-,s
midd1325,-,a,x,a,t,-,-,-,S
bara1273,-,a,x,a,t,-,-,-,s
nort2686,-,a,x,a,-,-,-,-,S
sout2694,-,a,x,a,-,-,-,-,S
oldu1238,s,e,g,i,t,-,-,-,-
oldu1238,-,u,x,a,t,-,-,-,S
gaga1249,-,a,-,-,t,-,-,-,S
anat1259,-,a,x,a,t,-,-,-,S
crim1257,-,-,-,-,t,e,r,e,k
nort2697,-,a,x,a,-,-,-,-,j
turk1304,-,a,x,a,t,-,-,-,S
sala1264,-,a,x,a,t,-,-,-,S
west2402,t,e,r,e,-,-,-,-,k
khak1248,-,a,x,a,-,-,-,-,s
shor1247,-,a,x,a,-,-,-,-,S
midd1324,-,a,t,-,-,-,-,-,S
tuvi1240,-,u,y,a,-,-,-,-,S
tofa1248,-,-,n,e,-,-,-,-,S
turk1303,h,a,x,a,t,-,-,-,S
dolg1241,m,a,-,-,-,-,-,-,s
yaku1245,m,a,-,-,-,-,-,-,s
chuv1255,y,u,v,3,-,-,-,-,S
