language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
kumy1244,g,-,-,i,n,-,-,-,-,e,S,-
kumy1244,g,-,-,i,n,-,-,-,-,-,-,-
noga1249,k,-,-,i,n,-,-,-,-,-,-,-
kara1464,k,-,-,u,y,-,-,-,-,a,S,-
kara1465,k,-,-,i,n,-,-,-,-,-,-,-
kara1467,k,-,-,i,n,-,-,-,-,-,-,-
kaza1248,k,-,-,i,n,-,-,-,-,-,-,-
kirg1245,k,-,-,i,n,-,-,-,-,-,-,-
uzbe1247,q,-,-,u,y,-,-,-,-,o,S,-
uigh1240,k,-,-,i,n,-,-,-,-,-,-,-
bash1264,q,-,-,o,y,-,-,-,-,a,S,-
midd1325,q,-,-,o,y,-,-,-,-,a,S,-
bara1273,q,-,-,o,y,-,-,-,-,a,S,-
nort2686,k,-,-,i,n,-,-,-,-,-,-,-
sout2694,k,-,-,i,n,-,-,-,-,-,-,-
oldu1238,k,-,-,i,n,-,-,-,-,-,-,-
gaga1249,g,-,-,i,n,-,-,-,-,e,S,-
gaga1249,g,-,-,i,n,-,-,-,-,-,-,-
anat1259,g,-,-,i,n,-,-,-,-,e,S,-
crim1257,k,-,-,i,n,-,-,-,-,e,S,-
nort2697,g,-,y,i,n,-,-,-,-,E,S,-
nort2697,g,-,y,i,n,-,-,-,-,-,-,-
turk1304,g,-,-,i,n,-,-,-,-,-,-,-
sala1264,k,-,-,u,n,-,-,-,-,-,-,-
west2402,k,-,-,i,n,-,-,-,-,-,-,-
khak1248,k,-,-,i,n,-,-,-,-,-,-,-
shor1247,k,-,-,i,n,-,-,-,-,-,-,-
midd1324,k,-,-,u,n,y,x,a,r,a,x,3
midd1324,k,-,-,u,n,y,x,a,r,a,x,3
tuvi1240,X,-,-,i,n,-,-,-,-,-,-,-
tofa1248,h,-,-,i,n,-,-,-,-,-,-,-
turk1303,k,-,-,i,n,-,-,-,-,-,-,-
dolg1241,k,-,-,i,n,-,-,-,-,-,-,-
yaku1245,k,-,-,i,n,-,-,-,-,-,-,-
chuv1255,X,e,v,e,l,-,-,-,-,-,-,-
