language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
magd1235,-,-,-,-,Z,-,u,-,-,k,-,u,-,-
sant1440,-,-,-,-,x,-,u,-,-,k,-,u,-,-
ocot1243,-,-,-,-,n,-,u,-,-,k,-,u,-,-
ocot1243,-,-,-,-,n,-,u,-,-,k,-,u,-,-
sana1284,-,-,-,-,x,-,i,-,-,k,-,o,-,-
yucu1250,-,-,-,-,Z,-,u,-,-,k,-,u,-,-
sanm1296,-,-,-,-,Z,-,u,-,-,k,-,u,-,-
yoso1239,-,-,-,-,Z,-,u,-,-,k,-,u,-,-
sanm1295,-,-,-,-,y,-,u,-,-,k,-,u,-,-
atat1238,-,-,-,-,Z,-,u,-,-,k,-,u,-,-
nort2985,-,-,-,-,Z,-,u,-,-,k,-,u,-,-
itun1239,-,-,-,-,y,-,u,-,-,k,-,u,-,-
sant1439,-,-,-,-,y,-,u,-,-,k,-,u,-,-
nuyo1238,-,-,-,t,S,-,u,-,-,k,-,u,-,-
nuyo1238,-,-,-,t,S,-,u,-,-,k,-,u,-,-
yucu1249,-,-,-,-,y,-,u,-,-,k,-,u,-,-
ayut1236,-,-,-,-,y,-,u,-,-,k,-,u,-,-
alco1235,-,-,-,t,S,-,i,-,-,t,S,i,-,-
alco1235,-,-,-,t,S,-,i,-,-,t,S,i,-,-
coic1238,-,-,-,t,S,-,i,-,-,t,S,i,-,-
coic1238,-,-,-,t,S,-,i,-,-,t,S,i,-,-
yolo1241,-,-,-,-,y,-,u,-,-,k,-,u,-,-
alac1244,-,-,-,t,S,-,i,-,-,t,S,i,-,-
alac1244,-,-,-,t,S,-,i,-,-,t,S,i,-,-
sanm1291,-,-,-,t,S,-,i,-,h,t,S,i,-,-
sanm1291,-,-,-,t,S,-,i,-,-,t,S,i,-,-
juxt1235,-,-,-,-,Z,-,i,-,-,k,-,u,-,-
juxt1235,-,-,-,-,Z,-,u,-,-,k,-,u,-,-
sila1250,-,-,-,-,y,-,i,-,-,k,-,o,-,-
sila1250,-,-,-,t,S,-,i,-,-,t,S,i,-,-
sila1250,-,-,-,t,S,-,i,-,-,t,S,i,-,-
sila1250,-,-,-,-,Z,-,i,-,-,k,-,o,-,-
sila1250,-,-,-,t,S,-,i,-,-,t,S,i,-,-
mixt1425,-,-,-,t,S,-,i,-,-,t,S,i,-,-
mixt1425,-,-,-,-,y,-,u,-,-,k,-,u,-,-
mixt1425,-,-,-,-,y,-,u,-,-,k,-,u,-,-
mixt1425,-,-,-,t,y,-,i,-,-,k,-,i,-,-
mixt1425,-,-,-,-,Z,-,u,-,-,k,-,u,-,-
cuat1239,-,-,-,t,S,-,i,-,-,t,S,i,-,-
tutu1243,-,-,-,-,y,-,u,-,-,k,-,u,-,-
sant1441,-,-,-,-,y,-,u,-,-,k,-,u,-,-
chay1249,-,-,-,-,y,-,u,-,-,k,-,u,-,-
chay1249,-,-,-,-,y,-,u,-,-,k,-,u,-,-
jami1235,-,-,-,-,y,-,u,-,-,k,-,u,-,-
sanj1281,-,-,-,-,y,-,u,-,-,k,-,u,-,-
pino1237,-,-,-,-,y,-,u,-,-,k,-,u,-,-
pino1237,-,-,-,-,y,-,u,-,-,k,-,u,-,-
pino1237,-,-,-,-,y,-,u,-,-,k,-,u,-,-
pino1237,-,-,-,-,y,-,u,-,-,k,-,u,-,-
ixta1235,-,-,-,-,y,-,u,-,-,k,-,u,-,-
tama1339,-,-,i,t,S,-,i,-,-,k,a,a,-,-
tama1339,-,-,i,t,S,-,i,-,-,k,a,a,-,-
tama1339,t,S,i,t,S,-,i,-,-,-,-,-,-,-
huit1252,-,-,-,-,Z,-,u,-,-,x,-,u,-,-
huit1252,-,-,i,t,S,-,i,-,-,k,a,a,-,-
huit1252,-,-,i,t,S,-,i,-,-,k,a,a,-,-
sind1277,-,-,-,-,Z,-,u,-,-,-,-,u,-,-
sanm1294,-,-,-,-,Z,-,u,-,-,x,-,u,-,-
diux1236,-,-,-,-,S,-,i,-,-,t,S,i,-,-
sant1445,-,-,-,-,S,-,i,-,-,t,S,i,-,-
peno1244,-,-,-,-,Z,-,u,-,-,k,-,u,-,-
sant1446,-,-,-,-,Z,-,u,-,-,k,-,u,-,-
tida1235,-,-,-,-,Z,-,u,-,-,k,-,u,-,-
sanj1282,-,-,-,-,S,-,u,-,-,k,-,u,-,-
apas1235,-,-,-,-,S,-,i,-,-,t,S,i,-,-
apas1235,-,-,-,-,S,-,i,-,-,t,S,i,-,-
caca1250,-,-,-,-,Z,-,i,-,-,k,-,u,-,-
yucu1251,-,-,-,-,Z,-,i,-,-,k,-,o,-,-
chaz1235,-,-,-,-,y,-,u,-,-,k,-,u,-,-
chaz1235,-,-,-,-,y,-,u,-,-,k,-,u,-,-
sout3001,-,-,-,-,y,-,u,-,-,k,-,u,-,-
chig1239,-,-,-,-,-,-,-,-,-,k,o,o,-,-
coat1241,-,-,-,-,S,-,u,-,-,k,w,i,-,-
chic1273,-,-,-,-,d,-,u,-,-,k,-,w,a,-
sanm1298,-,-,-,-,t,S,i,n,e,h,-,-,-,-
sanm1298,-,-,-,-,t,-,u,-,-,k,-,w,3,h
