language,x1,x2,x3,x4
sanj1282,u,-,u,-
yucu1250,u,-,u,-
nort2985,u,-,u,-
soya1236,u,-,u,-
apas1235,u,b,i,-
apas1235,u,w,i,-
tida1235,u,-,u,-
tama1339,u,-,u,-
tama1339,i,b,i,-
huit1252,u,-,u,-
sind1277,u,w,i,-
sanm1294,u,-,u,-
peno1244,u,-,u,-
atat1238,u,-,u,-
yoso1239,u,-,u,-
sanm1295,u,-,u,-
ocot1243,u,-,u,-
magd1235,u,-,u,-
taca1257,u,-,u,-
itun1239,3,w,3,-
sant1439,u,-,u,-
alco1235,u,b,i,-
alco1235,u,b,i,-
yolo1241,u,b,i,-
alac1244,o,b,i,-
alac1244,o,w,i,-
ayut1236,u,b,i,-
mixt1425,u,b,i,-
mixt1425,u,b,i,-
mixt1425,u,b,i,-
mixt1425,u,b,i,-
juxt1235,i,b,i,-
juxt1235,u,b,i,-
sila1250,i,b,i,-
sila1250,i,b,i,-
sila1250,i,b,i,-
sila1250,e,b,e,-
sila1250,i,b,i,-
sant1436,u,b,i,-
chay1249,u,w,i,-
chay1249,u,w,i,-
jami1235,u,b,i,-
sanj1281,u,b,i,-
pino1237,u,b,i,-
pino1237,u,w,i,-
pino1237,u,-,i,-
pino1237,u,b,i,-
tutu1243,u,w,i,-
ixta1235,u,b,i,-
chaz1235,u,w,i,-
chaz1235,u,w,i,-
sout3001,u,-,i,-
sout3001,u,-,i,-
chig1239,u,w,i,-
caca1250,3,-,3,-
coat1241,u,b,i,-
cuya1240,u,w,i,-
cuya1240,u,w,i,-
tepe1280,u,b,i,-
chic1273,-,w,i,-
chic1273,n,w,i,-
sanm1298,-,b,i,h
copa1237,-,w,i,h
