language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
kamw1239,n,-,g,3,-,-,-,-,-,-,l,a,-,-,t,-,-,-,-,a,-,-,-
nyim1251,-,-,-,-,-,-,-,-,-,-,z,a,-,-,n,-,-,-,-,-,-,-,-
molo1266,-,-,-,-,-,-,-,-,-,-,t,a,-,-,T,-,-,-,-,-,-,-,-
muya1243,-,-,-,-,-,-,-,-,-,-,f,3,-,-,N,-,-,-,-,-,-,-,-
muya1243,-,-,-,-,-,-,-,-,-,-,L,3,-,-,k,v,o,-,y,o,-,-,-
muya1243,-,-,-,-,-,-,-,-,-,-,L,3,-,-,k,-,i,-,y,u,-,-,-
muya1243,-,-,-,-,-,-,-,-,-,-,L,3,-,-,k,-,-,-,v,u,-,-,-
dugw1239,m,-,-,3,-,d,3,r,-,-,L,e,y,n,-,-,-,-,-,a,-,-,-
gemz1238,m,a,h,3,n,d,e,k,a,a,L,a,-,N,g,-,a,t,s,a,-,-,-
nort3047,-,-,g,i,-,r,-,-,-,-,T,a,-,-,g,-,-,-,w,a,-,-,f
mbed1242,-,-,-,-,-,-,-,-,-,-,p,3,-,-,k,-,-,-,-,u,-,-,-
lagw1237,-,-,-,-,-,-,-,-,-,-,g,3,-,-,g,-,-,-,-,3,w,u,n
mser1242,-,-,-,-,-,-,-,-,-,-,g,e,-,-,h,-,-,-,-,e,-,-,-
mpad1242,-,-,-,-,-,-,-,-,-,-,f,a,-,-,g,-,-,-,-,o,-,-,-
malg1250,-,-,-,-,-,-,-,-,-,-,f,a,-,-,g,-,-,-,-,3,-,-,-
zina1234,-,-,-,-,-,-,-,-,-,-,g,a,-,-,g,-,-,-,-,a,-,-,-
bata1314,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,b,o,-,-,-
bata1314,-,-,-,-,-,-,-,-,-,-,d,e,-,n,g,-,-,-,-,3,-,-,l
