language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
kamw1239,-,-,-,m,-,-,-,-,b,a,L,-,-,-,-,a,-,-,-,-
suku1272,-,-,-,t,a,-,-,-,p,a,L,-,-,-,-,-,-,-,-,-
lama1288,-,-,-,g,a,-,-,-,b,a,d,-,-,-,z,a,-,k,-,-
lama1288,-,-,-,g,a,-,-,-,b,a,d,-,-,-,z,a,-,k,a,-
nyim1251,d,y,i,n,-,-,-,-,b,u,n,-,-,-,-,-,-,-,-,-
molo1266,-,-,-,y,o,-,g,-,-,o,m,-,-,-,-,-,-,-,-,-
wuzl1236,-,-,-,-,-,-,-,-,-,-,m,3,p,e,p,e,s,l,-,-
vame1236,-,-,-,p,e,s,l,-,-,-,-,-,-,-,p,e,s,l,-,-
dugw1239,-,-,-,y,a,-,g,-,-,o,m,-,-,-,-,-,-,-,-,-
mere1246,d,-,-,z,e,-,g,-,w,e,m,-,-,-,-,-,-,-,-,-
gemz1238,d,-,-,z,e,-,g,-,w,e,m,-,-,-,-,-,-,-,-,-
mbuk1243,-,-,-,y,u,-,g,-,-,o,m,-,-,-,-,-,-,-,-,-
nort3047,-,-,-,p,e,-,-,-,p,e,L,-,-,-,-,-,-,-,-,-
cuvo1236,-,-,-,h,a,-,r,-,b,a,L,-,-,-,-,a,-,-,-,-
buwa1243,-,-,-,m,o,-,-,-,b,o,s,-,-,-,-,-,-,-,-,-
gava1241,-,-,-,m,o,-,-,-,b,o,l,-,-,-,-,e,-,l,e,N
mbed1242,-,-,-,m,3,-,-,-,b,a,s,-,-,-,-,a,-,-,-,-
kanu1281,n,-,-,g,a,-,-,-,w,a,n,-,-,-,-,a,-,-,-,-
lagw1237,-,-,-,k,a,-,l,m,p,a,l,-,-,-,-,a,-,-,-,-
mser1242,-,-,-,p,a,-,-,-,p,-,-,-,-,-,-,a,-,-,-,-
afad1236,-,-,-,g,o,-,l,-,-,a,w,-,-,-,-,e,-,-,-,-
mpad1242,-,-,-,g,o,-,l,m,b,a,l,-,-,-,-,a,-,-,-,-
malg1250,-,-,-,g,a,-,r,m,b,a,l,-,-,-,-,a,-,-,-,-
chad1249,-,-,-,k,i,-,t,i,f,-,-,-,-,-,-,-,-,-,-,-
maje1243,-,-,-,y,a,-,-,-,g,u,l,-,-,-,-,e,-,-,-,-
marg1266,-,-,-,p,a,-,-,-,p,a,L,-,-,-,-,a,-,-,-,-
