language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
kamw1239,-,-,-,-,-,-,-,-,g,a,-,-,t,o,-,g,w,o,-,-,-,-,-,-
nyim1251,-,-,-,-,-,n,-,-,g,a,r,-,s,-,-,-,-,a,-,-,-,n,i,-
molo1266,-,-,-,-,-,m,-,-,-,a,L,-,-,-,-,-,-,a,-,-,-,n,-,-
dugw1239,-,-,-,-,-,m,-,-,-,3,d,a,L,-,-,-,-,a,-,-,-,r,-,-
gemz1238,-,-,-,-,-,m,-,-,-,a,l,a,h,-,a,l,-,a,-,h,-,d,u,k
mbuk1243,-,-,-,-,-,-,-,-,-,-,d,3,l,-,-,-,-,e,-,-,-,n,-,-
nort3047,-,-,-,-,-,-,-,-,-,-,L,i,-,-,-,-,-,i,-,-,-,s,-,-
cuvo1236,-,-,-,-,-,m,-,-,-,a,T,a,T,a,a,n,-,a,-,-,-,-,-,-
buwa1243,-,-,-,l,a,m,-,-,-,a,r,-,-,-,-,-,-,-,-,-,-,-,-,-
gava1241,-,-,-,-,-,m,o,m,p,3,r,-,-,-,-,-,-,-,-,-,-,-,-,-
mbed1242,-,-,-,-,-,t,-,-,-,i,z,-,t,-,-,-,-,a,-,-,-,-,-,-
mofu1248,-,-,-,-,-,m,-,-,-,a,h,-,w,-,-,-,-,a,-,-,-,f,-,-
kanu1281,-,-,-,-,-,b,-,-,-,a,d,-,-,-,-,-,-,i,n,g,i,n,-,-
lagw1237,L,u,n,h,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mser1242,-,-,-,s,e,y,-,-,k,a,y,-,-,-,-,-,-,-,-,-,-,-,-,-
mpad1242,-,-,-,-,-,b,-,-,-,a,d,-,-,-,-,-,-,i,-,-,-,-,-,-
malg1250,h,3,n,d,3,b,-,-,-,a,d,-,-,-,-,-,-,3,-,-,-,-,-,-
chad1249,-,-,-,-,-,b,-,-,-,a,d,-,-,-,-,-,-,a,-,-,-,-,-,-
