language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
dugw1239,k,u,-,-,l,-,-,-,3,-,-,-,k,-,-,-,o,-,-,-,-,-,-
cuvo1236,g,3,-,-,-,-,-,-,-,-,-,-,m,-,-,-,a,-,-,z,-,-,-
buwa1243,k,u,-,-,z,-,-,-,o,-,-,-,k,w,3,n,o,-,-,-,-,-,-
gava1241,g,u,-,-,z,-,-,-,o,-,-,-,k,w,-,n,o,-,-,-,-,-,-
mbed1242,g,u,-,-,z,-,-,-,a,-,-,-,k,-,-,-,-,-,-,-,-,-,-
lagw1237,k,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,e
mser1242,k,u,r,u,r,u,n,d,a,k,3,r,m,-,-,-,3,t,3,r,3,n,-
afad1236,-,-,-,-,r,-,-,-,a,-,-,-,p,-,-,-,a,-,-,-,-,-,-
mpad1242,-,-,-,-,r,-,-,-,a,-,-,-,p,-,-,-,a,-,-,-,-,-,-
malg1250,g,u,-,-,r,-,-,-,-,-,-,-,d,-,-,-,a,-,-,-,-,n,-
masl1241,-,-,-,-,r,-,-,-,a,-,-,-,p,-,-,-,a,-,-,-,-,-,-
budu1265,k,-,-,-,-,-,-,-,3,-,-,-,n,-,-,-,a,-,-,-,-,y,-
maje1243,k,-,-,-,-,-,-,-,3,n,i,-,m,-,-,-,e,-,-,-,-,-,-
