language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
kamw1239,-,-,n,e,g,-,-,-,-,-,-,3,-,-,-,-,-
psik1239,-,-,n,a,k,-,-,-,-,-,-,e,-,-,-,-,-
lama1288,-,-,n,-,g,-,-,-,-,-,-,a,-,-,-,-,-
nyim1251,-,-,n,-,-,-,-,-,-,-,-,a,-,-,-,-,-
molo1266,m,3,n,-,y,-,-,-,-,-,-,a,-,-,r,-,-
wuzl1236,-,-,-,-,d,-,-,-,-,-,-,e,-,-,l,e,N
dugw1239,-,-,m,-,-,-,-,3,y,-,-,3,-,-,b,e,y
mere1246,-,-,N,-,g,a,t,a,y,a,d,3,-,-,r,e,-
gemz1238,-,-,-,-,p,-,-,-,-,-,-,3,-,-,r,-,-
gemz1238,-,-,N,-,g,-,-,-,-,-,-,a,-,-,t,-,-
gemz1238,-,-,-,-,f,-,-,-,-,-,-,3,-,-,r,-,-
mbuk1243,-,-,-,-,w,-,-,-,-,-,-,e,-,-,L,-,-
mbuk1243,-,-,-,-,T,-,-,-,-,-,-,a,-,-,n,-,-
nort3047,p,u,r,a,g,-,-,-,-,-,-,o,-,-,d,-,-
cuvo1236,-,-,-,-,w,-,-,-,-,-,-,a,-,-,l,a,-
buwa1243,-,-,-,-,g,-,-,-,-,-,-,3,-,-,r,e,-
gava1241,-,-,-,-,g,-,-,-,-,-,-,-,-,-,r,o,-
gava1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,o,N
mbed1242,-,-,-,-,g,-,-,-,-,-,-,3,-,-,d,-,-
bald1241,-,-,n,-,-,-,-,-,-,-,-,a,-,-,h,i,7
mbar1260,-,-,-,-,s,-,-,-,-,-,-,i,7,-,d,i,-
budu1265,-,a,m,-,u,-,-,-,-,-,-,3,-,-,-,-,-
lagw1237,-,-,n,-,g,u,n,-,-,-,-,a,-,-,l,e,-
mser1242,-,-,n,-,g,-,-,-,-,-,-,3,-,-,-,-,-
afad1236,-,-,n,-,d,-,-,-,-,-,-,3,-,-,-,-,-
mpad1242,-,-,n,-,d,-,-,-,-,-,-,3,-,-,-,-,-
malg1250,-,-,n,-,g,-,-,-,-,-,-,3,n,-,y,e,-
zina1234,f,i,n,-,-,-,-,-,-,-,-,a,-,-,-,-,-
marg1266,-,-,l,-,-,-,-,-,-,-,-,a,-,-,r,i,-
bata1314,-,-,n,-,-,-,-,-,-,-,-,a,-,-,-,-,-
dghw1239,-,-,n,3,g,-,-,-,-,-,-,3,n,3,g,a,-
