language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
kamw1239,m,-,-,-,-,b,-,-,3,-,-,l,y,i,T,i,g,o,-
nyim1251,-,-,-,-,-,-,-,-,-,-,-,r,-,a,p,-,-,a,-
wuzl1236,-,-,-,-,-,h,-,-,e,-,-,l,-,e,f,-,-,e,-
vame1236,t,3,n,d,i,s,-,-,a,-,-,d,-,a,w,-,-,-,-
dugw1239,-,-,-,-,-,-,-,-,-,-,-,l,-,3,v,-,-,e,r
mere1246,-,-,-,-,-,b,-,-,3,-,-,d,-,i,g,-,-,a,y
gemz1238,-,-,-,-,-,h,-,-,u,-,-,l,-,-,f,-,-,e,-
nort3047,-,-,-,-,-,h,-,-,u,-,-,d,-,-,-,-,-,o,l
cuvo1236,-,-,-,-,-,t,-,-,e,-,-,r,-,-,s,-,-,e,m
buwa1243,-,-,-,-,-,v,-,-,o,-,-,n,-,-,-,-,-,-,-
gava1241,-,-,-,-,-,S,-,-,i,-,-,N,-,-,-,-,-,-,-
mbed1242,-,-,-,-,-,v,-,-,3,-,-,N,-,-,-,-,-,-,-
kanu1281,-,-,-,-,-,y,-,-,a,-,-,l,-,-,-,-,-,-,-
kanu1281,-,-,-,-,-,y,a,m,a,-,-,-,-,-,-,-,-,-,-
lagw1237,-,-,m,-,i,y,a,m,a,t,a,d,-,-,-,-,-,e,-
mser1242,-,-,-,-,-,y,-,-,i,-,-,l,-,-,-,-,-,-,-
mpad1242,-,-,m,-,e,y,-,m,a,-,-,r,-,a,g,-,-,3,-
mpad1242,-,-,g,-,e,y,-,f,3,-,-,n,-,-,-,-,-,-,-
mpad1242,-,-,-,-,-,y,a,m,a,-,-,-,-,-,-,-,-,-,-
mpad1242,-,-,-,-,-,y,-,-,a,-,-,l,-,-,-,-,-,-,-
malg1250,-,-,-,-,-,g,e,f,3,-,-,n,-,-,-,-,-,-,-
chad1249,-,-,-,-,i,y,-,-,a,-,-,l,-,-,-,-,-,-,-
chad1249,y,a,m,-,a,7,-,-,a,-,-,-,-,-,-,-,-,-,-
chad1249,-,-,-,-,a,h,-,-,a,-,-,l,-,-,-,-,-,-,-
