language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
kamw1239,-,-,k,u,-,-,l,o,-,-,-,-,-,-,-,-
nyim1251,-,-,k,u,-,-,y,i,p,-,-,-,-,-,-,-
molo1266,-,-,h,-,-,-,-,-,-,3,r,-,-,d,e,L
wuzl1236,-,a,v,3,-,-,-,-,m,a,r,-,-,-,-,-
dugw1239,-,a,b,e,-,-,d,y,v,a,g,-,-,-,a,y
gemz1238,-,-,m,e,-,-,l,-,-,e,m,3,m,t,a,-
mbuk1243,-,-,m,3,-,-,z,-,-,a,k,-,-,-,a,y
nort3047,-,-,-,-,-,-,z,i,v,e,-,-,-,-,-,-
cuvo1236,-,-,-,-,-,-,y,3,v,-,-,-,-,-,a,y
buwa1243,-,-,-,-,-,-,y,e,b,-,-,-,-,-,-,-
gava1241,-,-,-,-,-,-,y,i,b,-,-,-,-,-,-,-
mbed1242,t,a,l,a,N,d,Z,i,b,-,-,-,-,-,-,-
mbar1260,-,m,b,o,-,t,y,a,h,-,-,-,-,-,a,-
kanu1281,-,-,-,-,-,-,k,a,w,a,r,-,-,-,-,-
kanu1281,-,-,-,-,-,-,k,a,w,a,r,-,-,-,-,-
lagw1237,-,-,-,-,-,-,k,a,b,-,r,-,-,-,i,-
mser1242,-,-,-,-,-,-,k,a,b,-,r,-,-,-,3,-
afad1236,-,-,-,-,-,-,k,a,b,a,r,-,-,-,-,-
mpad1242,-,-,g,o,-,l,k,a,b,a,r,-,-,-,-,-
mpad1242,-,-,-,-,-,-,k,a,b,a,r,-,-,-,-,-
malg1250,-,-,-,-,-,-,k,a,b,a,r,-,-,-,-,-
chad1249,-,-,-,-,-,-,x,a,b,u,r,-,-,-,-,-
chad1249,-,-,-,-,-,-,x,a,b,u,r,-,-,-,-,-
marg1265,-,-,-,-,-,-,h,u,-,-,-,-,-,-,-,-
bata1314,-,-,-,-,-,-,t,a,n,e,-,-,-,-,-,-
