language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
dugw1239,-,-,-,m,3,-,-,-,z,i,y,w,a,r,z,i,w,-,a,r,-,-,-,-
nort3047,-,-,-,-,-,-,-,-,z,i,y,-,-,-,z,-,-,-,a,n,-,-,-,-
cuvo1236,-,-,-,k,u,-,-,-,r,a,y,-,-,-,t,a,w,-,a,t,-,-,-,-
buwa1243,-,-,-,g,o,-,-,-,-,-,z,-,-,-,-,-,b,-,o,N,-,-,-,-
gava1241,-,-,-,m,o,-,-,-,r,i,y,-,-,-,-,o,w,m,o,r,i,y,o,w
mbed1242,-,-,-,d,u,-,-,-,-,-,z,-,-,-,-,3,k,-,a,-,-,-,-,-
lagw1237,-,-,-,h,u,-,-,-,r,-,g,-,-,-,-,-,-,-,u,m,-,-,-,-
mser1242,-,-,-,k,u,-,-,-,r,-,g,-,-,-,-,-,-,-,u,m,-,-,-,-
afad1236,-,-,-,g,u,-,-,-,r,-,g,-,-,-,-,-,-,-,u,m,-,-,-,-
mpad1242,-,-,-,k,u,-,-,-,r,-,g,-,-,-,-,-,-,-,u,m,-,-,-,-
malg1250,y,a,-,g,u,-,-,-,r,-,g,-,-,-,-,-,-,-,u,m,-,-,-,-
budu1265,-,a,3,s,u,3,b,3,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
