language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
dugw1239,-,a,b,e,d,-,-,y,-,y,a,m
dugw1239,-,-,b,3,d,-,-,i,-,y,e,m
mere1246,-,-,b,3,d,-,-,i,-,y,e,m
mere1246,-,-,b,3,d,-,-,i,-,y,e,m
nort3047,s,u,w,a,-,-,-,-,-,-,-,-
cuvo1236,-,-,t,3,-,-,-,-,-,k,e,r
mbed1242,-,-,t,o,r,-,-,-,-,-,o,k
lagw1237,-,-,f,3,l,-,-,-,-,-,i,-
mser1242,-,-,f,-,l,-,-,-,-,-,e,y
afad1236,-,-,b,3,l,-,-,-,-,-,e,-
mpad1242,-,-,b,3,l,-,-,-,-,-,e,-
malg1250,-,-,b,-,l,-,-,-,-,-,e,-
budu1265,-,-,b,3,l,a,k,3,a,y,i,-
chad1249,-,-,b,i,r,-,-,-,-,-,-,-
