language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
muya1243,-,-,m,-,-,b,-,-,o,d,o,y
muya1243,-,-,-,-,-,y,i,g,3,r,-,i
dugw1239,-,-,m,3,m,b,-,-,e,d,e,y
mere1246,-,-,m,3,m,b,-,-,e,d,e,-
nort3047,-,-,-,-,-,h,-,-,u,d,u,m
cuvo1236,-,-,m,a,m,b,-,-,e,d,e,y
buwa1243,l,E,m,-,-,-,-,-,E,d,-,-
gava1241,-,-,m,-,-,-,-,-,e,d,-,-
mbed1242,-,-,m,-,-,-,-,-,3,d,-,-
kamw1239,w,-,L,-,-,-,-,-,a,g,i,-
suku1272,-,-,s,-,-,-,-,-,a,f,-,-
lagw1237,-,-,m,3,-,h,-,-,3,-,-,-
mser1242,-,-,m,a,-,h,-,-,a,w,u,n
mpad1242,-,-,-,-,-,h,-,-,a,m,i,-
malg1250,-,-,-,-,-,h,-,-,a,m,u,n
