language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
kamw1239,-,-,-,-,-,-,-,z,i,-,-,m,3,-,l,-,o,-,-
suku1272,-,-,-,-,m,u,-,z,a,-,-,p,3,-,d,-,-,-,-
nyim1251,-,-,-,-,m,e,n,g,-,-,-,-,i,-,n,-,-,-,-
molo1266,-,-,-,-,m,-,-,-,a,-,-,y,a,-,y,-,a,-,h
vame1236,-,-,-,-,m,-,-,-,3,-,-,m,3,-,y,-,e,-,N
dugw1239,-,-,-,-,m,-,-,-,a,-,-,l,a,-,v,-,-,-,-
mere1246,-,-,-,-,m,-,-,-,a,-,-,h,a,-,h,-,a,-,y
gemz1238,-,t,3,v,m,-,-,-,a,-,-,d,e,-,s,-,e,-,-
nort3047,-,-,-,-,m,-,-,-,a,-,-,m,a,-,y,-,-,-,-
cuvo1236,-,-,-,-,m,-,-,-,3,-,-,p,e,-,s,-,e,k,w
buwa1243,-,-,-,-,z,-,-,-,e,m,-,b,e,-,l,-,-,-,-
gava1241,-,-,-,-,z,-,-,-,3,m,-,b,3,-,l,-,-,-,-
mbed1242,-,-,-,-,m,-,-,-,u,-,-,m,3,-,d,-,-,-,-
kanu1281,-,k,3,-,n,-,-,-,-,-,-,-,-,-,z,-,a,-,-
lagw1237,-,-,-,-,n,-,-,-,-,-,k,7,u,-,n,-,e,-,-
mser1242,a,r,a,-,m,-,-,-,a,n,k,7,u,-,r,-,e,-,-
mpad1242,-,s,3,-,m,-,-,-,-,-,-,-,-,-,s,-,3,-,m
malg1250,-,s,3,-,m,-,-,-,-,-,-,-,-,-,s,-,3,-,m
chad1249,-,s,u,-,-,-,-,-,-,-,-,-,-,-,r,-,a,-,-
maje1243,-,-,-,-,m,-,-,-,3,-,-,-,-,-,z,g,e,-,-
gaan1243,-,-,-,-,n,-,-,-,-,-,-,y,i,n,d,-,a,-,-
