language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
kamw1239,-,-,-,-,-,-,-,v,-,i,-,d,-,-,-,i,-,-,-
psik1239,-,-,-,-,-,-,-,v,-,i,-,d,-,-,-,i,-,-,-
psik1239,-,-,-,-,-,-,-,x,-,-,-,-,-,-,-,e,-,-,-
suku1272,-,-,-,-,-,-,-,v,-,3,-,d,-,-,-,-,-,-,-
suku1272,-,-,-,-,-,-,-,v,-,a,-,y,-,-,-,-,-,-,-
lama1288,-,-,-,-,-,r,-,v,-,i,-,d,-,-,-,i,-,-,-
lama1288,-,3,-,-,-,r,-,v,-,i,-,d,-,-,-,i,-,-,-
nyim1251,-,-,-,-,-,-,-,v,-,i,-,r,k,i,r,i,-,-,-
molo1266,m,3,n,-,-,d,3,y,-,e,-,-,-,-,-,-,-,-,-
molo1266,-,-,-,-,-,l,3,v,-,a,-,N,-,-,-,-,-,-,-
muya1243,-,-,-,-,-,l,3,v,-,a,-,N,-,-,-,-,-,-,-
muya1243,m,3,-,-,-,l,o,v,-,o,-,d,-,-,-,-,-,-,-
wuzl1236,-,-,-,-,-,l,a,v,-,a,-,d,-,-,-,-,-,-,-
wuzl1236,w,u,l,a,m,l,a,v,-,a,-,d,-,-,-,-,-,-,-
wuzl1236,-,-,-,-,-,l,3,v,-,a,-,N,-,-,-,-,-,-,-
vame1236,-,-,-,-,-,l,u,v,-,a,-,d,-,-,-,-,-,-,-
dugw1239,-,-,-,-,-,l,3,v,-,a,-,N,-,-,-,-,-,-,-
mere1246,-,-,-,-,-,l,3,v,-,a,-,N,-,-,-,-,-,-,-
gemz1238,-,-,-,-,-,l,3,v,-,a,-,N,-,-,-,-,-,-,-
gemz1238,-,-,-,-,-,h,3,v,-,a,-,d,-,-,-,-,-,-,-
mbuk1243,-,-,-,-,-,l,u,v,-,o,-,n,-,-,-,-,-,-,-
nort3047,-,-,-,-,-,h,u,k,-,o,-,d,-,-,-,-,-,-,-
cuvo1236,-,-,-,-,-,l,3,v,-,a,-,N,-,-,-,-,-,-,-
cuvo1236,-,-,-,-,-,-,-,v,-,a,-,d,-,-,-,-,-,-,-
buwa1243,-,-,-,-,-,-,-,z,-,o,-,d,-,-,-,o,w,-,-
gava1241,-,-,-,-,-,-,-,z,-,o,-,d,-,-,-,3,-,-,-
mbed1242,-,-,n,-,-,d,-,Z,-,a,-,d,-,-,-,u,-,-,-
bald1241,-,-,-,-,-,-,a,v,-,u,-,t,-,-,-,-,-,-,-
mbar1260,-,-,-,-,-,d,i,v,-,i,7,d,-,a,-,y,-,-,-
budu1265,-,-,-,-,-,-,-,k,-,3,-,n,-,-,-,3,m,-,-
kanu1281,-,-,-,-,-,-,-,b,-,u,-,n,-,-,-,e,-,-,-
lagw1237,-,-,-,-,-,n,-,v,-,a,-,d,-,-,-,e,-,-,-
mser1242,-,-,-,-,-,n,-,v,-,a,-,d,-,-,-,e,-,-,-
afad1236,-,-,-,-,-,-,-,f,-,a,-,d,-,-,-,e,-,-,-
mpad1242,-,-,-,-,-,-,-,f,-,a,-,d,-,-,-,e,-,-,-
malg1250,-,-,-,-,-,-,-,f,-,a,-,d,-,-,-,e,-,-,-
zina1234,-,-,-,-,-,l,3,v,-,i,-,n,-,-,-,-,-,-,-
marg1265,-,-,-,-,-,-,-,v,-,i,-,7,-,-,-,i,-,-,-
marg1266,-,-,-,-,-,-,-,v,w,i,-,7,-,-,-,i,-,-,-
mafa1239,-,-,-,-,-,-,-,v,-,a,-,d,-,-,-,-,-,-,-
bata1314,-,-,-,-,-,t,u,k,-,o,-,t,-,-,-,o,-,-,-
hwan1240,-,-,-,-,-,-,-,f,-,3,-,d,-,-,-,i,g,r,a
dghw1239,-,-,-,-,-,-,-,v,-,i,-,t,-,-,-,e,-,-,-
dghw1239,-,-,-,-,-,-,-,v,-,3,-,t,-,-,-,e,-,-,-
