language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
kamw1239,-,-,-,p,-,-,w,o,k,3,-,-,-,-,-,-,g,-,-,-,-,-,u,-,-
psik1239,-,-,-,d,-,-,-,-,-,3,-,-,-,-,-,-,g,-,w,a,v,-,a,-,-
psik1239,-,-,-,d,-,-,-,-,-,3,-,-,-,-,-,-,g,-,w,a,v,-,a,-,-
suku1272,-,-,-,d,-,-,-,-,-,u,-,-,-,-,-,-,g,-,u,-,v,-,u,-,-
lama1288,-,-,-,p,-,-,-,-,-,u,-,-,-,-,-,k,g,-,u,-,v,-,i,-,-
nyim1251,m,a,-,b,-,-,-,-,-,u,-,-,-,-,-,-,l,-,-,-,-,-,u,-,-
molo1266,m,o,-,t,-,-,-,-,-,o,-,-,-,-,-,-,k,-,o,-,y,-,o,-,-
molo1266,-,-,-,d,-,-,-,-,-,e,r,-,-,l,e,n,g,-,-,-,-,-,e,-,-
molo1266,-,-,-,d,-,-,-,-,-,3,r,-,-,l,e,n,g,-,-,-,-,-,e,-,-
muya1243,-,-,-,d,-,-,-,-,-,i,r,-,-,l,e,N,g,-,-,-,-,-,i,-,-
muya1243,-,-,-,d,-,-,-,-,-,i,r,-,-,l,e,N,g,-,-,-,-,-,i,-,-
wuzl1236,-,-,-,t,a,k,w,-,-,a,l,-,a,z,a,-,z,-,-,-,-,-,a,y,-
wuzl1236,-,-,-,t,a,k,w,-,-,a,l,-,a,z,a,-,z,-,-,-,-,-,a,y,-
vame1236,-,-,-,t,-,-,-,-,-,3,Z,g,u,l,e,-,k,-,-,-,-,-,-,-,-
dugw1239,m,a,-,t,-,-,-,-,-,a,-,-,-,-,-,-,k,-,o,-,y,-,a,-,-
gemz1238,-,-,-,d,-,-,-,-,-,3,r,-,-,l,e,N,g,-,-,-,-,-,e,-,-
mbuk1243,-,-,-,d,-,-,-,-,-,3,r,-,-,l,i,n,g,-,-,-,-,-,e,-,-
nort3047,m,o,-,t,-,-,-,-,-,-,-,-,-,-,-,-,k,-,o,-,y,-,a,-,-
cuvo1236,-,-,-,p,-,-,-,-,-,3,-,-,-,-,-,-,k,-,-,-,w,-,a,-,-
buwa1243,-,-,-,k,-,-,w,-,-,o,-,-,-,y,-,-,k,w,o,-,y,-,o,-,-
gava1241,-,-,-,k,-,-,w,-,-,o,-,-,-,-,-,-,k,w,o,-,y,-,o,-,-
mbed1242,-,-,-,k,-,-,-,-,-,o,-,-,-,y,-,-,k,-,o,-,y,-,a,-,-
budu1265,-,-,-,b,-,-,-,-,-,3,-,-,-,-,-,a,l,-,-,-,-,t,u,-,-
kanu1281,-,-,-,b,-,-,-,-,-,u,-,-,-,-,-,-,l,-,-,-,-,t,u,-,-
lagw1237,-,-,-,d,-,-,-,-,-,a,-,-,-,-,-,-,d,-,-,-,-,-,u,-,-
mser1242,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,z,-,-,-,-,-,i,-,-
afad1236,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,e,-,-
mpad1242,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,S,-,-,-,-,-,i,-,-
malg1250,-,-,-,b,-,-,-,-,-,3,-,-,-,-,-,-,g,-,-,-,-,-,a,-,-
chad1249,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-,-,-,a,y,-
maje1243,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,N,g,-,u,-,r,n,e,-,-
marg1265,m,a,m,p,-,-,-,-,-,3,-,-,-,-,-,-,l,-,-,-,-,-,3,N,u
marg1266,m,a,-,b,-,-,-,-,-,3,-,-,-,-,-,-,l,-,-,-,-,-,a,N,-
marg1266,m,a,-,b,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,a,n,g
kilb1234,m,a,-,b,-,-,-,-,-,3,-,-,-,-,-,-,l,-,-,-,-,-,a,N,-
bata1314,n,-,-,g,-,-,b,-,-,3,-,-,-,-,-,-,r,-,-,-,-,-,3,m,e
fula1264,-,-,-,f,-,-,-,-,-,o,-,-,-,w,-,-,r,-,-,-,-,-,u,-,-
