language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
wuzl1236,m,u,b,-,a,-,-,-,l,-,-,a,-,-,-,-,-,-,-
dugw1239,-,a,w,-,e,-,-,-,t,-,-,-,-,-,-,-,-,-,-
mere1246,m,a,b,-,a,-,-,-,l,-,-,a,-,-,-,-,-,-,-
gemz1238,-,-,k,-,3,-,-,-,l,-,-,a,f,p,a,m,p,a,m
nort3047,m,o,b,-,o,-,-,-,l,-,-,o,-,-,-,-,-,-,-
cuvo1236,m,a,b,-,a,-,-,-,l,a,h,a,-,-,-,-,-,-,-
buwa1243,n,-,d,-,o,-,r,g,w,-,-,o,-,-,-,-,-,-,z
gava1241,m,o,t,-,o,-,N,g,l,-,-,o,-,-,-,-,-,-,N
kanu1281,-,-,k,-,3,m,-,u,d,-,-,o,-,-,-,-,-,-,-
lagw1237,-,-,k,7,a,-,-,-,l,a,g,e,-,-,-,-,-,-,-
mser1242,-,-,-,b,a,-,-,-,r,-,g,o,-,-,-,-,-,-,-
afad1236,-,-,g,-,a,-,-,-,y,i,r,o,-,-,-,-,-,-,-
mpad1242,-,-,k,-,a,-,-,-,T,-,-,u,-,-,-,-,-,-,-
malg1250,-,-,k,7,3,m,-,-,b,-,-,o,-,-,-,-,-,-,-
maje1243,-,-,k,-,u,m,b,3,l,-,-,3,-,-,-,-,-,-,m
