language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
dugw1239,-,m,a,-,-,-,-,b,-,-,-,-,a,y,-,-
mere1246,-,d,e,z,-,i,-,k,-,d,-,-,e,z,i,k
nort3047,-,d,u,-,-,-,-,-,-,d,-,-,o,-,-,k
cuvo1236,-,-,a,z,-,e,b,b,-,-,-,-,a,y,-,-
buwa1243,n,d,e,l,-,e,-,h,n,d,e,l,e,h,-,-
buwa1243,n,d,e,-,-,-,-,b,n,d,-,-,e,b,-,-
gava1241,-,z,3,l,-,-,-,-,-,z,-,-,3,l,-,-
mbed1242,n,d,u,l,-,-,-,-,n,d,-,-,u,l,-,-
lagw1237,-,g,3,l,-,-,-,-,-,-,-,-,a,-,-,-
mser1242,-,d,e,s,-,-,-,-,-,-,-,-,3,-,-,-
afad1236,-,k,3,r,k,o,-,-,-,k,-,-,3,-,-,-
mpad1242,-,k,3,r,k,o,-,-,-,k,-,-,3,-,-,-
malg1250,-,t,3,d,-,i,-,-,-,s,-,-,3,n,-,-
