language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
kamw1239,-,f,i,-,g,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
nyim1251,-,y,e,-,k,-,-,-,-,-,-,u,-,-,-,-,-,-,-,Z,-,-,a,-,-,-,-,-,-,-
molo1266,-,w,3,-,r,-,-,-,-,-,-,a,-,-,-,-,-,-,n,z,-,-,a,k,-,a,r,-,-,-
wuzl1236,-,w,a,-,r,-,-,-,-,-,w,u,-,-,-,-,-,d,i,y,-,-,e,k,-,-,-,-,-,-
dugw1239,-,w,u,-,r,-,-,-,-,-,w,u,-,-,-,-,-,-,-,T,-,-,3,k,-,e,r,-,-,-
mere1246,-,v,3,-,d,-,-,-,-,-,-,3,k,i,m,a,n,d,-,z,-,-,e,k,w,e,r,-,-,-
gemz1238,-,b,e,-,d,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-
gemz1238,-,b,e,-,d,-,-,-,-,-,-,E,k,-,m,e,n,d,-,z,-,-,e,k,w,e,r,-,-,-
gemz1238,-,b,e,-,d,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-
mbuk1243,-,s,i,-,y,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-
nort3047,-,z,i,-,r,-,-,-,-,-,-,i,k,-,-,3,-,-,-,T,-,-,i,k,-,a,r,h,a,y
cuvo1236,-,w,a,-,t,-,-,-,-,-,t,a,-,-,-,-,-,-,-,s,i,y,a,k,w,-,-,-,-,-
buwa1243,m,b,o,-,g,-,-,-,-,-,-,a,-,-,m,-,-,-,-,t,-,-,o,k,-,-,-,-,-,-
gava1241,m,b,3,-,g,-,-,-,-,-,-,o,-,-,m,-,-,-,-,t,-,-,o,k,-,-,-,-,-,-
mbed1242,m,b,u,-,g,-,-,-,-,-,-,a,-,-,m,-,-,-,-,t,-,-,a,k,-,-,-,-,-,-
lagw1237,-,g,u,-,l,-,-,-,-,-,k,u,-,-,-,-,-,-,-,s,-,-,-,k,-,u,-,-,-,-
mser1242,-,-,u,-,l,i,-,-,o,-,k,u,-,-,-,-,-,-,-,s,-,-,-,k,-,u,-,-,-,-
afad1236,-,w,u,-,l,-,-,-,-,-,b,3,-,-,-,-,-,-,-,s,-,-,-,b,-,o,-,-,-,-
mpad1242,-,l,o,3,l,-,-,-,-,-,b,a,-,-,-,-,-,-,-,s,-,-,-,k,-,u,-,-,-,-
malg1250,-,w,u,-,l,i,a,d,3,k,p,a,-,-,-,-,-,-,-,-,-,-,-,k,p,3,-,-,-,-
maje1243,-,g,u,-,y,-,-,-,-,-,-,a,-,-,-,-,-,-,-,T,-,-,a,k,-,a,r,-,-,-
