language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
molo1266,-,-,-,-,s,3,-,-,-,n,e,w,k
dugw1239,-,m,e,-,z,-,-,-,-,-,e,-,k
nort3047,-,m,u,-,s,u,-,-,-,d,o,-,k
mbuk1243,-,m,e,-,z,3,-,-,-,z,e,-,-
mbuk1243,-,m,e,-,z,e,-,-,-,z,e,-,-
cuvo1236,-,m,e,-,z,-,-,-,-,-,e,-,N
buwa1243,-,s,e,N,s,-,-,-,-,-,e,-,N
gava1241,-,k,u,-,S,-,-,-,-,-,o,-,N
mbed1242,N,g,i,-,s,-,-,-,-,-,e,-,N
kamw1239,-,-,-,-,S,i,n,a,k,w,e,-,-
lagw1237,-,x,u,-,S,e,-,-,-,S,i,-,-
mser1242,-,-,-,-,S,i,-,-,-,-,e,-,-
afad1236,-,-,-,-,s,i,-,-,-,y,o,-,-
mpad1242,-,-,-,-,s,i,-,-,-,-,o,-,-
malg1250,-,-,-,-,g,i,-,-,-,y,e,-,-
mbar1260,-,-,-,-,s,i,-,-,-,s,e,-,-
