language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
kamw1239,-,y,e,n,n,T,-,3,-,-,w,-,u,-,l,y,i,-
nyim1251,-,q,u,-,-,t,l,i,-,-,q,-,u,-,r,-,-,-
muya1243,-,-,-,-,-,l,-,3,-,-,g,-,3,-,r,-,-,-
dugw1239,-,m,3,-,-,t,-,o,-,-,k,-,o,-,r,-,-,-
mere1246,-,m,3,-,-,t,-,o,-,-,k,-,o,-,r,-,-,-
gemz1238,-,m,a,-,-,t,-,a,-,-,k,w,a,-,r,-,-,-
gemz1238,-,m,3,-,-,t,-,o,-,-,k,-,o,-,r,-,-,-
nort3047,-,-,-,-,-,-,-,-,-,-,k,-,u,-,l,-,a,k
cuvo1236,-,-,-,-,-,d,-,a,r,N,g,-,a,-,l,-,a,-
buwa1243,-,-,-,-,-,s,-,o,-,-,h,-,o,-,-,-,-,-
gava1241,-,-,-,-,-,s,k,o,-,-,h,-,o,-,-,-,-,-
mbed1242,-,-,-,-,-,d,-,u,-,-,k,-,u,-,m,-,-,-
kanu1281,-,d,-,-,-,-,-,a,-,n,g,-,a,-,l,-,-,-
lagw1237,-,x,u,-,-,s,-,e,-,-,k,-,-,-,-,-,a,-
mser1242,-,y,-,-,-,-,-,i,-,-,g,-,u,-,r,-,i,-
mpad1242,-,g,-,-,-,-,-,e,-,y,k,-,u,-,r,-,e,-
malg1250,-,g,-,-,-,-,-,e,-,-,g,-,b,-,r,-,i,-
maje1243,k,w,-,-,-,-,-,a,-,t,k,-,w,a,N,-,-,-
