language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
molo1266,-,-,m,e,n,d,-,-,-,e,-,-,L,e,g,-,-,-,a
wuzl1236,-,-,-,-,-,l,-,-,-,a,N,-,l,a,N,-,-,-,-
wuzl1236,-,-,m,-,-,-,-,-,-,e,m,-,-,e,d,-,-,-,-
wuzl1236,-,-,m,a,-,d,z,a,l,a,m,3,w,a,r,-,i,y,o
wuzl1236,-,-,-,-,-,-,-,-,-,a,m,-,-,a,d,-,-,-,-
vame1236,h,3,m,a,-,d,-,e,l,e,d,-,-,e,d,3,n,y,a
vame1236,-,-,m,3,n,d,-,e,g,e,-,-,-,-,-,-,n,-,-
gemz1238,-,-,m,3,-,t,-,-,-,-,-,-,-,a,L,-,-,-,-
mbuk1243,-,-,p,i,-,y,-,-,-,e,T,-,-,e,T,-,-,-,e
mbuk1243,-,-,m,3,-,d,-,-,-,i,g,-,w,e,d,-,-,-,-
cuvo1236,-,-,m,e,-,-,-,-,-,-,m,-,-,e,d,-,-,-,-
mbar1260,s,u,m,-,-,d,-,-,-,-,-,-,-,a,y,-,-,-,-
budu1265,-,-,-,-,-,t,u,-,-,3,l,-,-,a,y,-,-,-,-
kanu1281,-,-,-,-,-,k,-,-,-,a,s,-,-,a,g,-,-,-,3
mpad1242,-,-,-,-,-,k,-,-,-,a,s,-,-,a,g,-,-,-,3
marg1265,-,-,l,-,-,-,-,-,-,3,d,-,-,3,d,-,-,-,u
dghw1239,-,-,n,-,-,d,-,-,-,a,L,-,-,a,-,-,-,-,-
