language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
kamw1239,-,-,-,-,l,y,e,k,w,a,w,e,h,y,i,-,-,-,-,h,y,i,-
nyim1251,-,-,-,-,d,-,-,-,-,-,-,-,-,-,i,n,-,-,a,r,w,a,-
molo1266,-,-,o,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,3,r,-,o,-
muya1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,o,w,-,-,-
muya1243,-,-,-,-,d,-,-,-,-,-,-,-,-,-,i,n,-,d,o,r,-,-,-
wuzl1236,-,v,3,r,z,-,e,g,-,-,-,-,-,-,e,n,i,y,a,-,-,-,-
wuzl1236,-,-,-,-,d,-,-,-,-,-,-,-,-,-,i,n,-,d,a,r,-,-,-
dugw1239,-,-,-,-,g,-,-,-,-,-,-,-,-,-,u,-,-,r,a,-,-,-,-
mere1246,-,-,-,-,g,-,-,-,-,-,-,-,-,-,u,-,-,r,a,-,-,-,-
gemz1238,-,-,-,-,g,-,-,-,-,-,-,-,-,-,u,-,-,r,a,-,-,-,-
mbuk1243,-,-,-,-,g,-,-,-,-,-,-,-,-,-,u,-,-,r,a,-,-,-,-
nort3047,-,-,-,-,T,-,-,-,-,-,-,-,-,-,a,-,-,L,a,-,-,-,-
cuvo1236,-,-,-,-,g,-,-,-,-,-,-,-,-,-,3,-,-,n,a,b,-,-,-
buwa1243,-,-,-,-,d,-,-,-,-,-,-,-,-,-,3,b,-,-,o,r,-,-,-
gava1241,k,w,o,-,t,-,-,-,-,-,-,-,-,-,o,t,-,-,o,d,-,3,-
kanu1281,-,-,-,-,d,-,-,-,-,-,-,-,-,-,i,n,-,-,a,r,-,-,-
lagw1237,-,-,-,-,d,-,-,-,-,-,-,-,-,-,i,n,-,-,a,r,-,-,-
mser1242,-,-,-,-,d,-,-,-,-,-,-,-,-,-,i,n,-,-,a,r,-,-,-
afad1236,-,-,-,-,d,-,-,-,-,-,-,-,-,-,i,n,-,-,a,r,-,-,-
mpad1242,-,-,-,-,d,-,-,-,-,-,-,-,-,-,i,n,-,-,a,r,-,-,-
malg1250,-,-,-,-,d,-,-,-,-,-,-,-,-,-,i,n,-,-,a,r,-,-,-
chad1249,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,a,h,-,a,b
maje1243,-,t,u,-,z,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
