language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
molo1266,-,-,w,-,-,a,-,L,-,-
molo1266,-,-,w,3,T,a,-,d,-,-
muya1243,-,-,T,-,-,o,-,d,o,y
muya1243,-,-,L,-,-,o,-,d,o,y
wuzl1236,-,-,b,-,-,a,-,k,o,-
vame1236,-,-,p,3,s,a,-,r,a,y
dugw1239,m,3,w,e,L,e,y,r,e,-
nort3047,-,-,w,u,T,a,-,d,-,-
mbuk1243,-,-,w,u,t,e,-,d,-,-
mbuk1243,-,-,-,-,d,a,-,v,-,-
cuvo1236,-,-,w,-,-,a,-,d,a,-
gava1241,-,-,b,-,-,o,-,l,-,-
mbed1242,-,-,w,-,-,a,-,d,-,-
kamw1239,m,-,b,-,-,3,-,l,o,-
lagw1237,-,-,-,-,t,e,-,l,u,n
mser1242,-,-,p,-,l,e,-,l,u,-
mpad1242,-,-,f,-,-,3,-,d,e,-
malg1250,n,-,g,-,-,3,-,h,e,-
bata1314,-,-,b,-,-,3,-,r,-,-
