language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
kamw1239,t,h,-,-,e,-,-,g,-,-,o,-,-
nyim1251,-,l,-,-,a,-,-,w,-,-,a,-,-
muya1243,-,h,o,m,o,-,-,T,-,-,o,y,-
muya1243,-,z,-,-,o,-,-,f,-,-,3,N,-
muya1243,-,z,-,-,o,-,-,f,-,-,3,N,-
wuzl1236,-,-,-,-,-,-,-,b,-,-,a,t,-
dugw1239,-,m,-,-,3,-,-,g,3,s,e,y,-
gemz1238,-,m,-,-,e,-,-,k,3,z,e,l,e
nort3047,-,-,-,-,-,-,-,-,-,T,i,n,-
cuvo1236,-,h,-,-,a,-,-,h,-,s,-,l,a
mbed1242,-,-,-,-,-,-,-,k,-,-,3,l,a
budu1265,-,-,-,-,-,-,-,-,-,-,i,-,-
lagw1237,-,s,-,-,3,x,a,w,-,-,u,n,-
mser1242,-,-,-,-,i,-,-,y,-,-,o,-,-
mpad1242,-,l,-,-,e,-,-,g,-,-,3,-,-
mpad1242,-,-,-,-,-,-,-,-,-,-,i,-,-
malg1250,-,w,-,-,e,-,-,g,-,-,3,-,-
