language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
kamw1239,w,f,a,t,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-
psik1239,-,f,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nyim1251,-,-,-,t,u,k,h,-,-,-,-,-,-,-,-,-,-,-,-
dugw1239,-,-,-,-,-,-,m,-,-,a,p,i,y,L,-,-,-,a,m
mere1246,-,t,-,s,3,-,n,-,-,e,-,-,-,L,-,-,-,a,m
gemz1238,-,t,-,s,a,-,r,-,-,a,-,-,-,k,-,-,-,a,-
mbuk1243,-,-,-,L,3,-,n,-,-,-,-,-,-,-,-,-,-,e,-
nort3047,-,-,-,T,i,-,n,-,-,-,-,-,-,-,-,-,-,-,-
gava1241,-,-,-,L,i,-,m,-,-,-,-,-,-,-,-,-,-,o,-
mbed1242,-,k,3,L,i,-,m,-,-,-,-,-,-,-,-,-,-,-,-
bald1241,-,n,a,T,i,-,n,-,-,-,-,-,-,-,-,-,-,-,-
mbar1260,-,-,-,L,i,-,n,-,-,-,-,-,-,-,-,-,-,i,-
budu1265,-,-,-,h,3,-,m,-,-,a,-,-,-,y,-,-,-,-,-
lagw1237,-,-,-,L,u,-,n,u,n,a,-,-,-,l,-,-,-,e,-
mser1242,-,-,-,s,3,-,n,-,-,-,-,-,-,k,-,-,-,a,-
afad1236,-,-,-,L,3,-,n,-,-,-,-,-,-,g,-,-,-,o,-
mpad1242,-,-,-,S,i,-,n,-,-,-,-,-,-,g,-,-,-,3,-
malg1250,-,-,-,L,3,-,n,-,d,3,-,-,-,g,-,-,-,3,-
chad1249,-,-,-,s,i,-,m,-,-,i,-,-,-,7,-,-,-,-,-
zina1234,-,-,-,s,3,-,m,-,-,-,-,-,-,y,-,-,-,a,-
dghw1239,-,t,-,s,3,-,n,-,-,3,-,-,-,t,s,3,n,a,-
