language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52
sobe1238,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,7,o,-,d,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
tarp1240,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,k,u,-,r,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
mala1487,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-
arop1242,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-
sioo1240,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
numb1247,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
mutu1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,p,o,N,g,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
gitu1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,p,o,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
mala1489,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,p,o,N,g,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
mbul1263,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
