language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37
sioo1240,-,-,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,-,-,-
sioo1240,-,-,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,-,-,-
numb1247,-,-,-,-,-,-,-,-,-,p,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mbul1263,-,-,-,-,-,-,-,-,-,s,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kove1237,-,-,-,-,-,-,-,-,-,r,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
bari1286,-,b,-,-,i,-,-,-,-,d,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
male1289,-,b,-,b,i,-,-,-,-,r,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
taki1248,-,-,-,-,-,-,-,-,-,s,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
geda1237,-,d,-,-,u,-,-,-,-,s,a,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
woge1237,-,-,-,-,-,-,-,-,-,f,-,-,-,-,a,-,-,-,-,-,-,-,n,-,-,-,-,i,-,-,-,-,-,-,-,-,-
mana1295,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,n,-,-,e,7,i,-,-,-,-,-,-,-,-,-
kair1263,-,-,-,-,-,-,-,-,-,v,i,-,-,y,a,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yabe1254,-,-,-,-,-,-,-,-,-,p,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
onto1237,-,-,-,-,-,-,-,-,-,7,a,-,-,-,a,-,-,-,-,-,-,-,7,-,-,-,-,e,-,-,-,-,-,-,-,-,-
taku1257,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,-,k,-,-,-,-,e,-,-,-,-,-,-,-,-,-
sika1261,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,-,k,-,-,-,-,e,-,-,-,-,-,-,-,-,-
nuku1259,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,-,k,-,-,-,-,e,-,-,-,-,-,-,-,-,-
nuku1260,-,-,-,-,-,-,-,-,-,g,-,-,-,-,a,-,-,-,-,-,-,-,g,-,-,-,-,e,-,-,-,-,-,-,-,-,-
