language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
kiow1266,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,o,-,p,h,a,n,-
sanj1276,-,-,-,-,-,-,n,-,-,-,u,-,-,-,-,-,-,-,u,-,-,-,u,-,-
mayo1264,-,-,-,-,-,-,n,-,-,-,a,a,p,o,s,-,-,-,a,-,-,-,-,-,-
yaqu1251,-,-,-,-,-,-,n,-,-,-,a,a,p,o,s,-,-,-,a,-,-,-,-,-,-
tuba1279,-,-,-,-,-,-,n,-,-,-,a,-,-,-,s,-,-,-,i,-,-,-,i,t,-
huar1255,-,-,-,-,-,-,n,-,-,-,a,h,p,i,s,-,-,-,o,-,-,-,o,-,-
cent2131,-,-,-,-,-,-,n,-,-,-,a,-,p,i,s,-,-,-,o,-,-,-,o,-,-
opat1246,-,-,-,-,-,-,n,-,-,-,a,-,p,-,-,-,-,-,o,-,-,-,o,t,-
eude1234,-,-,-,-,-,-,n,-,-,-,a,a,p,-,s,-,-,-,a,-,-,-,-,-,-
elna1235,-,-,-,-,-,-,n,-,-,-,a,-,-,-,s,-,-,-,i,-,-,-,-,-,-
huic1243,-,-,-,-,-,-,n,-,-,-,a,-,-,-,r,-,i,-,i,-,-,-,-,-,-
toho1245,-,-,-,-,-,-,m,-,-,-,a,-,-,-,t,-,-,-,a,-,-,-,i,-,-
pima1248,-,-,-,-,-,-,m,-,-,-,a,-,-,-,t,-,h,-,a,-,-,-,i,-,-
sout2976,-,-,-,-,-,-,m,-,-,-,a,-,-,-,t,-,-,-,a,-,-,-,i,-,-
nort2959,-,-,-,-,-,-,m,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,e,-,-
clas1250,-,-,-,-,-,-,n,-,-,-,e,-,-,-,S,t,l,-,i,-,-,-,-,-,-
high1278,-,-,-,k,w,o,n,-,-,-,e,-,-,-,S,-,-,-,-,-,-,-,-,-,-
tete1251,t,l,a,k,-,o,n,-,-,-,e,-,-,-,S,t,l,-,i,-,-,-,-,-,-
pipi1250,-,-,-,-,-,-,n,-,-,-,e,-,-,-,S,t,-,-,i,-,-,-,-,-,-
pipi1250,-,-,-,-,-,-,n,-,-,-,e,-,-,-,s,t,S,t,a,-,-,-,-,-,-
pipi1250,-,-,-,-,-,-,n,-,-,-,e,-,-,-,T,t,S,-,-,-,-,-,-,-,-
poch1244,-,-,-,-,-,-,n,-,-,-,o,-,-,-,S,t,-,-,-,-,-,-,-,-,-
chem1251,-,-,-,-,-,-,k,-,-,-,u,-,t,-,s,-,-,-,a,-,p,-,3,-,-
sout2969,-,-,-,-,-,-,k,-,-,-,u,-,t,-,s,-,-,-,a,-,-,-,E,-,-
kawa1283,-,-,-,-,-,-,k,-,-,-,u,-,t,-,s,-,-,-,a,-,p,-,3,-,-
utee1244,-,-,-,-,-,-,k,-,-,-,u,-,t,-,s,-,-,a,a,-,p,-,3,-,-
mono1275,-,-,-,-,-,-,-,-,-,-,e,-,-,-,s,-,-,-,i,i,y,-,a,-,-
nort2954,-,-,-,-,-,-,k,-,-,-,u,-,-,-,s,-,-,-,i,-,-,-,-,-,-
nort2954,-,-,-,-,-,-,k,-,-,-,u,-,t,u,s,-,-,-,i,-,p,-,3,-,-
pana1305,-,-,-,-,-,-,k,-,-,-,u,-,t,-,s,-,-,-,a,-,p,-,3,h,-
gosi1242,-,-,-,-,-,-,k,-,-,-,u,-,-,-,s,-,-,-,i,-,p,-,3,h,-
coma1245,-,-,e,-,-,-,t,-,-,-,u,-,h,-,s,-,-,-,i,-,p,-,3,h,-
hopi1249,-,-,-,-,-,-,q,-,-,-,o,e,t,-,s,-,-,-,-,-,v,-,i,-,-
serr1255,-,-,-,-,-,-,k,-,-,-,u,-,-,-,k,-,-,-,-,-,-,-,u,h,t
kita1252,-,-,-,-,-,-,k,-,-,-,u,-,-,-,k,-,-,-,-,-,-,-,u,-,t
tong1329,-,-,-,-,-,-,k,-,-,-,o,-,-,-,S,-,-,-,-,-,-,-,i,S,-
cahu1264,-,-,-,-,-,-,n,-,i,-,i,-,-,-,s,-,x,-,-,-,-,-,i,S,-
cupe1243,-,-,-,-,-,-,w,-,-,-,3,-,-,-,s,-,S,k,i,-,-,-,i,S,-
luis1253,-,-,-,-,-,-,t,-,e,e,e,-,-,-,l,-,-,-,i,-,N,-,i,S,-
tuba1278,-,-,-,-,-,-,t,-,-,-,o,-,n,-,g,-,-,-,-,-,-,-,u,l,-
kere1287,-,-,-,-,-,-,m,m,i,-,i,-,-,-,s,T,k,-,a,-,-,-,i,-,-
acom1246,-,-,-,-,-,-,m,m,i,-,i,-,-,-,s,S,-,-,a,-,-,-,i,-,-
sant1426,-,-,-,-,-,-,m,m,i,-,i,-,-,-,s,T,k,-,a,-,-,-,i,-,-
sant1425,-,-,-,-,-,-,m,m,i,-,i,-,-,-,s,T,k,-,a,-,-,-,-,-,-
