language,x1,x2,x3,x4
piem1238,f,i,m,-
piem1238,f,i,m,-
piem1238,f,i,m,-
piem1238,f,i,m,-
roma1328,f,o,m,-
emil1241,f,o,m,-
emil1241,f,u,m,-
emil1241,f,u,m,-
vene1258,f,u,N,-
vene1258,f,u,m,-
vene1258,f,u,m,o
ital1282,f,u,m,o
ital1282,f,u,m,o
ligu1248,f,i,m,e
ligu1248,f,i,m,u
neap1235,f,u,m,3
sici1248,f,u,m,u
sici1248,f,u,m,u
sici1248,f,u,m,u
friu1240,f,u,m,-
stan1289,f,u,m,-
stan1289,f,u,m,-
stan1289,f,u,m,-
stan1289,f,u,m,-
stan1289,f,u,m,-
stan1289,f,u,m,-
camp1261,f,u,m,u
megl1237,f,u,m,-
arom1237,f,u,m,u
roma1327,f,u,m,-
istr1245,d,i,m,-
