language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
gard1241,p,l,-,-,w,e,y,-,-,-,a
fass1244,p,y,-,e,v,-,y,-,-,-,a
friu1240,p,l,-,o,-,-,y,-,-,-,e
piem1238,p,y,-,o,-,-,v,-,-,-,a
piem1238,p,y,-,E,-,-,v,-,-,-,a
piem1238,p,y,-,E,-,-,v,-,-,-,a
piem1238,p,y,-,E,-,-,v,-,-,-,a
roma1328,p,y,-,u,-,-,v,-,-,-,a
emil1241,-,-,-,a,k,-,v,-,-,-,a
emil1241,p,y,-,o,-,-,v,-,-,-,a
emil1241,p,y,-,o,-,-,v,-,-,-,a
vene1258,p,y,-,o,-,-,v,-,-,-,a
vene1258,p,y,-,o,-,-,v,-,-,-,a
vene1258,p,y,-,o,-,-,v,-,-,-,a
ital1282,p,y,-,o,d,-,Z,-,-,-,a
ital1282,p,y,-,o,d,-,Z,-,-,-,a
ligu1248,-,-,-,E,g,-,w,-,-,-,a
ligu1248,p,-,-,u,-,-,y,-,-,-,a
geno1240,-,-,-,E,g,-,w,-,-,-,a
sici1248,-,-,-,a,k,-,w,-,-,-,a
sici1248,k,y,-,u,-,-,v,u,t,-,a
sici1248,-,-,-,a,k,-,w,-,-,-,a
mess1247,k,y,-,u,-,-,v,u,t,-,a
neap1235,k,y,-,o,d,-,Z,-,-,-,3
stan1289,p,l,-,u,t,-,S,-,-,-,a
stan1289,p,l,-,u,t,-,S,-,-,-,a
stan1289,p,l,-,u,d,-,Z,-,-,-,a
stan1289,p,l,-,u,-,-,Z,-,-,-,3
stan1289,p,l,-,u,-,-,Z,-,-,-,E
stan1289,p,l,-,u,-,-,Z,-,-,-,3
cast1244,-,L,-,u,b,-,y,-,-,-,a
ruma1247,p,l,y,E,-,-,v,-,d,Z,3
surs1244,p,l,y,E,-,-,v,-,d,Z,3
lowe1386,p,l,-,E,-,-,v,-,d,Z,3
surm1243,p,l,y,E,-,-,v,-,d,Z,3
prov1235,p,l,y,E,-,-,y,-,-,-,o
dalm1243,p,l,-,o,-,-,v,a,-,y,a
barb1262,p,r,-,o,-,-,g,i,d,-,a
camp1261,-,-,-,a,-,-,b,-,-,-,a
megl1237,p,l,-,o,-,a,y,-,-,-,3
arom1237,p,l,-,o,-,a,y,-,-,-,e
roma1327,p,l,-,o,v,a,y,-,-,-,e
istr1245,p,l,-,o,-,-,y,-,-,-,e
