language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
khal1275,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-
thul1246,-,-,-,-,-,-,p,h,-,-,-,o,-,-,-,-,-,o,-,s,-,-,-,-,-,-
kulu1253,-,-,-,-,-,-,p,-,-,-,-,a,-,-,-,m,-,a,-,-,-,-,-,-,-,-
bahi1252,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-
limb1266,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,E,-,s,-,-,-,-,-,-
bant1281,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,e,-,s,-,-,-,-,-,-
chep1245,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,a,-,s,-,-,-,-,-,-
wayu1241,-,-,-,-,-,-,p,h,-,-,-,a,-,p,-,h,-,a,-,r,-,i,-,-,-,-
oldb1235,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,a,-,n,-,-,-,-,-,-
nucl1310,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-
lash1243,-,-,-,-,-,-,p,h,-,-,-,-,-,-,-,-,-,a,-,t,-,-,-,-,-,-
zaiw1241,-,-,-,-,-,-,p,h,-,-,-,-,-,-,-,-,-,a,-,t,-,-,-,-,-,-
maru1249,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,a,u,k,-,-,-,-,-,-
pela1242,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,a,u,7,-,-,-,-,-,-
xian1249,-,-,-,-,-,-,p,h,-,-,-,-,-,-,-,-,-,a,-,t,-,-,-,-,-,-
acha1249,-,-,-,-,-,-,p,h,-,-,-,-,-,-,-,-,-,a,-,t,-,-,-,-,-,-
lisu1250,-,-,-,-,-,-,p,h,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-
jing1260,-,-,n,-,-,-,p,h,-,-,-,-,-,-,-,-,-,a,-,t,-,-,-,-,-,-
drun1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,u,7,-,-,-
haka1240,-,-,-,-,-,-,-,l,-,-,-,u,-,u,a,l,u,a,-,k,-,-,-,-,-,-
lush1249,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,u,a,-,k,-,-,-,-,-,-
ukhr1238,-,-,-,-,-,-,k,h,-,-,-,3,-,m,3,l,-,a,-,w,-,-,-,-,-,-
karb1241,-,-,-,-,-,-,T,h,-,t,s,i,-,n,-,g,o,o,-,k,-,-,-,-,-,-
horp1240,-,-,-,-,-,-,p,h,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-
eree1240,-,-,m,-,-,-,p,h,E,l,X,a,-,-,-,-,-,a,-,-,-,-,-,-,-,-
japh1234,-,-,q,i,o,-,-,-,-,-,-,-,-,-,-,-,-,o,-,X,-,-,-,-,-,-
japh1234,-,-,m,-,u,y,p,h,-,-,-,-,-,-,-,-,-,o,-,t,-,-,-,-,-,-
situ1238,k,a,m,-,3,m,p,h,-,-,-,-,-,-,-,-,-,a,-,t,-,-,-,-,-,-
zhab1238,-,-,-,-,-,-,p,h,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-
tang1334,-,-,-,-,-,-,w,y,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
byan1241,-,-,-,-,-,-,-,l,-,-,-,o,N,m,-,-,-,o,-,-,-,-,-,-,-,-
gahr1239,-,-,-,-,-,-,-,l,-,-,-,o,-,-,-,-,-,o,-,N,-,-,-,-,-,-
clas1254,-,-,-,-,-,-,-,s,-,k,-,y,-,-,-,-,-,u,-,g,-,-,-,-,-,-
amdo1237,-,-,-,-,-,-,-,b,-,T,-,S,-,-,-,-,-,3,-,k,-,-,-,-,-,-
amdo1237,-,-,-,-,-,-,-,h,-,t,-,S,-,-,-,-,-,3,-,X,-,-,-,-,-,-
utsa1239,-,-,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-
kham1282,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,u,-,7,-,-,-,-,-,-
tsha1245,-,-,-,-,-,-,p,h,-,r,-,o,-,-,-,-,-,o,-,s,-,-,-,-,-,-
idum1241,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-
diga1241,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-
boka1249,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
garo1247,-,-,-,-,-,-,T,h,-,-,-,-,-,-,-,-,-,-,-,t,s,i,g,a,l,a
rabh1238,-,-,-,-,-,-,p,h,-,-,-,-,-,-,-,-,-,a,-,t,-,-,-,-,-,-
guan1279,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,u,-,-,-,-,-,-
hakk1236,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,u,-,-,-,-,-,-
hakk1236,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,u,-,-,-,-,-,-
beij1235,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,o,-,u,-,-,-,-,-,-
chao1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,u,-,-,-,-,-,-
chao1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,u,-,-,-,-,-,-
oldc1244,-,-,-,-,-,-,-,q,-,-,-,-,-,-,-,-,-,o,-,o,-,-,7,-,-,-
