language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
khal1275,-,-,-,-,-,-,-,-,h,-,-,-,-,-,u,-,-,-,-,-,-,t,-,-,-
thul1246,-,-,-,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-,-,-,k,-,-,-
kulu1253,-,-,-,-,-,-,-,-,t,-,i,-,-,m,a,-,-,-,-,-,-,-,-,-,-
bahi1252,-,-,-,-,-,-,-,-,h,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-
limb1266,-,-,-,-,-,-,t,i,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bant1281,-,-,-,-,-,-,-,-,h,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
chep1245,-,-,-,-,-,-,-,-,s,-,y,-,-,-,u,-,-,-,-,-,-,r,-,-,-
oldb1235,-,-,-,-,-,-,-,-,l,-,-,-,-,-,o,-,-,-,-,-,-,o,n,n,-
nucl1310,-,-,-,-,-,-,-,-,l,-,-,-,-,-,o,-,-,-,-,-,-,u,-,-,-
lash1243,-,-,-,-,-,-,-,-,t,-,-,-,-,-,a,-,-,-,-,-,-,p,-,-,-
zaiw1241,-,-,-,-,-,-,-,-,N,-,y,-,-,-,e,-,-,-,-,-,-,-,-,-,-
maru1249,-,-,-,-,-,-,-,-,t,-,-,-,-,-,E,-,-,-,-,-,-,7,-,-,-
pela1242,-,-,-,-,-,-,-,-,t,-,-,-,-,-,E,-,-,-,-,-,-,7,-,-,-
xian1249,-,-,-,-,-,-,-,-,t,-,S,-,-,-,a,-,-,-,-,-,-,p,-,-,-
acha1249,-,-,-,-,-,-,-,-,n,-,y,-,-,-,e,-,-,-,-,-,-,-,-,-,-
lisu1250,-,-,-,-,-,-,-,-,p,-,i,-,-,-,E,-,-,-,-,-,-,-,-,-,-
jing1260,-,-,-,-,-,-,-,-,t,-,S,-,-,-,i,-,-,-,-,-,-,7,-,-,-
drun1238,-,-,-,-,-,-,-,-,-,-,g,-,-,-,o,-,-,-,-,-,-,-,-,-,-
haka1240,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,a,a,N,k,a,N,7,-,-,-
lush1249,-,-,-,-,-,-,-,-,h,-,-,-,-,-,a,-,-,-,-,a,-,l,-,-,-
lush1249,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,a,-,N,-,-,-
ukhr1238,-,-,-,-,-,-,-,-,k,-,-,-,-,-,3,-,-,-,T,u,-,y,-,-,-
karb1241,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,a,-,r,-,-,-
horp1240,-,-,-,-,-,-,-,-,b,-,-,-,-,-,3,-,-,-,-,-,-,r,-,y,E
eree1240,-,-,-,-,-,-,-,-,n,-,-,-,-,-,o,-,-,-,-,-,-,r,-,-,-
japh1234,-,-,-,-,-,-,-,-,n,-,-,-,-,-,u,-,-,-,-,-,-,t,-,-,-
situ1238,-,-,-,-,-,-,-,-,k,-,3,-,-,n,o,-,-,-,-,-,-,t,-,-,-
zhab1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,p,-,-,t,-,s,i
tang1334,-,-,-,-,-,-,-,-,n,-,y,-,-,w,3,-,-,-,-,-,-,-,-,-,-
byan1241,T,-,-,-,-,-,t,-,S,-,i,i,m,m,o,-,-,-,-,-,-,-,-,-,-
rong1264,l,y,3,l,y,a,t,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gahr1239,-,-,-,-,-,-,t,-,S,-,o,-,-,-,o,-,-,-,-,-,-,s,-,-,-
clas1254,N,-,-,-,-,-,-,-,b,-,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-
amdo1237,m,-,-,-,-,-,-,-,b,-,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-
utsa1239,-,-,-,-,-,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-
kham1282,m,-,-,-,-,-,-,-,b,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
tsha1245,-,-,-,-,-,-,-,-,d,-,-,-,-,-,e,-,-,-,-,-,-,r,-,-,-
diga1241,-,-,-,-,-,-,-,-,x,r,o,-,-,-,u,-,-,-,-,-,-,-,-,-,-
boka1249,-,-,-,-,-,-,-,-,g,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-
garo1247,-,-,-,-,-,-,-,-,k,-,a,-,-,m,a,-,-,-,-,-,-,-,-,-,-
rabh1238,-,-,-,-,-,-,-,-,-,-,-,-,-,p,a,-,-,-,-,-,-,k,-,-,-
rabh1238,-,-,-,-,-,-,-,-,k,-,-,-,-,h,a,-,-,-,-,-,-,m,-,-,-
guan1279,-,-,-,-,-,-,-,-,s,-,i,-,-,-,u,-,-,-,-,-,-,-,-,-,-
hakk1236,-,-,-,-,-,-,t,-,S,h,o,-,-,-,o,-,-,-,-,-,-,7,-,-,-
hakk1236,-,-,-,-,-,-,-,-,s,-,a,-,-,-,u,-,-,-,-,-,-,-,-,-,-
beij1235,-,-,-,-,-,-,-,-,S,o,o,-,-,-,o,-,-,-,-,-,-,-,-,-,-
chao1238,-,-,-,-,-,-,-,-,s,-,i,-,-,-,E,-,-,-,-,-,-,-,-,-,-
chao1239,-,-,-,-,-,-,-,-,s,-,i,-,-,-,o,-,-,-,-,-,-,-,-,-,-
