language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
khal1275,-,-,-,-,k,-,-,-,-,-,o,-,-,m,-,-,-
thul1246,-,-,-,-,n,-,-,-,-,-,e,-,-,m,-,-,-
kulu1253,-,-,-,-,k,-,-,h,-,-,i,-,-,m,-,-,-
bahi1252,-,-,-,-,k,-,-,h,-,-,i,-,-,m,-,-,-
limb1266,-,-,-,-,-,-,-,h,-,-,i,-,-,m,-,-,-
bant1281,-,-,-,-,k,-,-,h,-,-,i,-,-,m,-,-,-
chep1245,-,-,-,-,k,-,-,o,-,-,o,-,-,m,7,b,i
wayu1241,-,-,-,-,k,-,-,-,-,-,e,-,-,m,-,-,-
oldb1235,-,-,-,-,-,-,-,-,-,-,i,-,-,m,-,-,-
nucl1310,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-
lash1243,-,-,-,-,y,-,-,-,-,-,o,-,-,m,-,-,-
zaiw1241,-,-,-,-,y,-,-,-,-,-,u,-,-,m,-,-,-
maru1249,-,-,-,-,y,-,-,-,-,-,a,-,-,m,-,-,-
pela1242,-,-,-,-,y,-,-,-,-,-,a,-,-,m,-,-,-
xian1249,-,-,-,-,-,-,-,-,-,-,i,-,-,n,-,-,-
acha1249,-,-,-,-,-,-,-,-,-,-,i,-,-,n,-,-,-
lisu1250,-,-,-,-,h,-,-,-,-,-,i,-,-,-,-,-,-
jing1260,n,-,-,-,t,-,-,-,-,-,a,-,-,-,-,-,-
drun1238,-,-,-,-,T,-,-,-,-,-,i,-,-,m,-,-,-
haka1240,-,-,-,-,7,-,-,i,-,-,i,-,-,n,-,-,-
lush1249,-,-,-,-,-,-,-,-,-,-,i,-,-,n,-,-,-
ukhr1238,-,-,-,-,S,-,-,-,-,-,i,-,-,m,-,-,-
karb1241,-,-,-,-,h,-,-,-,-,-,e,-,-,m,-,-,-
horp1240,-,-,-,-,-,-,-,y,-,-,o,-,-,-,-,-,-
eree1240,-,-,-,-,-,-,-,y,-,-,3,-,-,m,-,-,-
japh1234,-,-,-,-,k,-,-,h,-,-,a,-,-,-,-,-,-
situ1238,-,-,-,-,t,3,t,S,-,-,3,-,-,m,-,-,-
zhab1238,-,-,-,-,-,-,-,y,-,-,i,-,-,-,-,-,-
tang1334,-,-,-,-,-,-,-,y,-,-,3,-,-,y,-,-,-
tang1334,-,-,-,-,k,-,-,y,3,3,3,-,-,r,-,-,-
rong1264,-,-,-,-,k,-,-,-,-,-,i,-,-,m,-,-,-
gahr1239,-,-,-,-,k,-,-,y,-,-,u,-,-,m,-,-,-
clas1254,-,-,-,-,k,-,-,h,-,y,i,-,-,m,-,-,-
amdo1237,n,-,-,-,k,-,-,h,-,-,o,o,N,N,-,-,E
amdo1237,-,-,-,-,k,-,-,h,-,-,a,-,-,N,-,w,a
utsa1239,-,-,-,-,k,-,-,h,-,-,a,-,-,N,-,p,a
kham1282,-,-,-,-,k,-,-,h,-,-,o,-,-,m,-,b,a
tsha1245,-,-,-,-,p,-,-,h,-,-,a,-,-,-,-,-,i
idum1241,-,-,-,-,-,-,-,-,-,-,o,o,-,N,-,-,-
diga1241,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-
boka1249,-,-,-,-,-,-,-,-,-,-,u,-,-,g,-,-,u
garo1247,n,o,o,-,k,-,-,-,-,-,-,-,-,-,-,-,-
rabh1238,n,o,o,-,k,-,-,-,-,-,-,-,-,-,-,-,-
guan1279,-,-,u,-,k,-,-,-,-,-,-,-,-,-,-,-,-
hakk1236,v,-,u,k,k,-,-,h,-,-,a,-,-,-,-,-,-
hakk1236,v,-,u,7,k,-,-,h,-,-,a,-,-,-,-,-,-
hakk1236,f,-,o,-,N,-,-,t,-,-,i,-,-,-,-,-,-
hakk1236,v,-,u,-,k,-,-,-,-,-,-,-,-,-,-,-,-
chao1238,-,-,-,-,t,-,s,h,-,-,u,-,-,-,-,-,-
chao1239,-,-,-,-,t,-,s,h,-,-,u,-,-,-,-,-,-
oldc1244,q,o,o,-,k,-,-,-,-,-,-,-,-,-,-,-,-
