language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
khal1275,-,-,-,-,-,-,-,-,-,p,h,i,-,-,l,e,-,-,-,-,-,-,-,-,-,-
kulu1253,-,-,-,-,-,-,-,-,-,p,h,i,-,-,l,a,-,-,-,-,-,-,-,-,-,-
bant1281,-,-,-,-,-,-,-,-,-,-,d,i,-,-,l,a,-,-,-,-,-,N,-,-,-,-
chep1245,-,-,-,-,-,-,-,-,-,p,-,-,-,-,l,e,-,-,-,-,-,k,-,-,-,-
wayu1241,-,-,-,-,-,-,-,-,-,p,h,e,-,k,t,e,-,-,-,-,-,N,-,-,-,-
oldb1235,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,o,-,-,-,-,-,o,-,-,n,n
nucl1310,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,o,-,-,-,-,-,u,-,-,-,-
lash1243,-,-,-,-,t,a,-,-,N,p,-,o,-,-,-,o,-,-,-,-,-,u,-,-,-,-
zaiw1241,-,-,-,-,t,a,-,-,N,p,-,-,-,-,-,a,-,-,-,-,-,u,-,-,-,-
maru1249,-,-,-,-,t,o,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,k
pela1242,-,-,-,-,t,o,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-,u,-,-,-,-
xian1249,-,-,-,-,l,a,-,-,m,p,-,-,-,-,-,a,-,-,-,-,-,u,-,-,-,-
acha1249,t,S,h,i,s,a,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lisu1250,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,u,-,-,-,v,-,u,-,-,-,-
jing1260,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,k,-,y,-,i,-,-,-,-
drun1238,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,u,-,t,-,S,-,i,-,-,-,-
haka1240,-,-,-,-,-,-,-,-,-,p,h,a,-,-,-,a,-,-,-,-,i,i,-,-,-,-
lush1249,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,l,-,p,u,i,-,-,-,-
karb1241,-,-,-,-,k,e,n,g,N,t,h,-,-,-,-,a,-,-,-,-,-,m,-,-,-,-
horp1240,-,-,-,-,-,-,-,-,-,b,-,-,-,-,l,-,-,-,-,-,-,E,-,-,-,-
eree1240,-,-,-,-,l,-,-,-,-,p,h,3,-,-,l,a,-,-,-,-,-,a,-,-,-,-
japh1234,-,-,-,-,t,u,-,-,X,p,x,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-
situ1238,-,-,-,-,t,3,-,-,-,p,h,3,-,-,k,p,-,-,-,-,-,o,-,-,-,-
zhab1238,-,-,-,-,-,-,-,-,-,p,-,o,o,n,d,e,-,-,-,-,-,i,-,-,-,-
tang1334,-,-,-,-,-,-,-,-,-,b,-,i,-,-,-,a,-,-,-,-,-,a,-,-,-,-
byan1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,a,-,k,-,S,y,a,-,-,-,-
rong1264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,o,-,-,-,r,-,o,-,-,-,-
gahr1239,-,-,-,-,-,-,-,-,-,k,-,-,-,-,h,o,-,o,-,d,z,u,-,-,-,p
clas1254,-,-,-,-,-,-,-,-,-,b,r,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-
amdo1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-
amdo1237,-,-,-,-,-,-,-,-,-,w,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-
utsa1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,E,-,-,-,S,-,a,-,-,-,-
kham1282,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,o,k,e,i,7
tsha1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,u,-,-,-,m
idum1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,n,u,p,-,u,-,-,-,-
diga1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,o,-,-,-,-,-,-,-,-,-,-
boka1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,a,-,-,-,y,-,3,-,-,-,k
rabh1238,-,-,-,-,s,i,-,-,-,b,-,-,-,-,-,o,-,-,-,-,-,o,-,-,-,N
guan1279,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,i,-,-,p,e,i,-,-,-,-
hakk1236,-,-,-,-,t,-,-,-,-,h,-,-,-,-,-,a,i,t,-,h,u,i,-,-,-,-
hakk1236,-,-,-,-,t,-,-,-,-,h,-,-,-,-,-,a,i,-,-,p,-,i,-,-,-,-
beij1235,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,-,t,-,h,u,i,-,-,-,-
chao1238,-,-,-,-,t,u,-,-,a,k,-,-,-,-,-,a,-,t,-,h,u,i,-,-,-,-
chao1239,-,-,k,a,t,u,-,-,-,-,-,-,-,-,-,a,-,t,-,h,u,i,-,-,-,-
oldc1244,-,-,-,-,k,-,-,-,-,w,-,-,-,-,-,a,-,-,-,7,-,-,-,-,-,-
