language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
khal1275,-,-,-,-,-,-,-,l,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,m,-,-
thul1246,-,-,-,-,-,-,-,y,-,-,-,3,-,k,h,l,-,-,-,-,-,-,-,-,i,-,-,m,-,-
kulu1253,b,-,-,-,a,-,-,y,-,-,-,a,-,-,-,y,-,-,-,-,-,-,-,-,a,-,-,m,-,-
limb1266,-,-,-,-,-,-,-,l,-,-,-,a,-,-,p,t,-,-,-,-,-,-,-,-,a,-,-,N,b,a
chep1245,-,-,-,-,-,-,-,7,-,-,-,a,-,k,a,t,S,-,-,-,-,y,-,-,u,-,l,7,-,-
oldb1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,h,y,o,o,n,n,h,-,-
nucl1310,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,S,-,-,-,-,h,-,o,i,-,-,-,-,-
lash1243,-,-,-,-,-,-,-,l,-,-,-,o,-,7,-,t,S,-,-,-,-,h,-,-,a,-,-,p,-,-
zaiw1241,-,-,-,-,-,-,-,k,-,-,-,a,-,-,-,t,S,o,-,k,k,h,-,o,o,-,-,N,-,-
maru1249,-,-,-,-,-,-,-,l,-,-,-,o,-,7,-,t,S,-,-,-,-,h,-,-,E,-,-,7,-,-
pela1242,-,-,-,-,-,-,-,l,-,-,-,a,-,7,-,t,S,-,-,-,-,h,-,-,E,-,-,7,-,-
xian1249,-,-,-,-,-,-,-,l,-,-,-,o,-,-,-,7,s,a,n,k,-,h,Z,o,o,-,-,7,-,-
acha1249,k,-,-,-,a,-,-,l,-,-,-,i,-,N,-,t,S,-,-,-,-,h,-,u,a,-,-,7,-,-
lisu1250,-,-,-,-,-,-,-,l,-,-,-,E,-,-,-,d,-,e,-,k,-,h,-,-,u,-,-,-,-,-
jing1260,-,-,-,-,-,-,-,k,a,p,h,a,-,7,-,n,-,-,-,-,-,p,-,-,u,-,-,7,-,-
drun1238,-,-,-,-,-,-,-,r,-,-,-,o,-,7,-,l,-,-,-,-,-,-,-,-,i,-,-,-,-,-
haka1240,-,-,-,-,-,-,-,z,-,-,-,a,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ukhr1238,-,-,-,-,-,-,-,r,-,-,-,i,-,k,-,k,-,-,-,-,-,h,-,-,a,-,-,-,-,-
karb1241,-,-,-,-,-,-,-,y,-,-,-,i,n,g,N,k,-,e,-,-,-,p,-,-,-,-,-,-,-,-
horp1240,-,-,-,-,-,p,h,y,-,-,-,E,-,k,-,-,-,3,-,-,-,v,-,-,3,-,-,-,-,-
eree1240,-,-,-,-,-,p,-,y,-,-,-,a,-,q,-,-,-,E,-,E,i,v,-,-,i,-,-,-,-,-
japh1234,-,-,-,t,u,p,-,y,-,-,-,a,-,X,-,-,-,-,-,-,-,p,-,-,a,-,-,-,-,-
zhab1238,-,-,-,-,-,-,-,y,-,-,-,a,-,t,-,-,h,o,-,o,-,Z,-,-,o,-,-,-,-,-
byan1241,T,-,-,t,-,S,-,-,-,-,-,u,-,k,-,-,-,-,-,-,-,l,-,-,i,-,-,-,-,-
rong1264,k,-,-,-,-,-,-,-,-,-,-,3,-,g,-,-,-,-,-,-,-,r,y,a,i,-,-,-,-,-
clas1254,m,-,-,t,-,S,-,h,-,-,-,a,n,k,-,-,-,-,-,-,-,h,-,-,u,-,-,N,-,-
clas1254,b,-,-,-,-,Z,-,-,-,-,-,a,-,g,-,-,-,-,-,-,-,h,-,o,o,-,-,g,-,-
amdo1237,n,-,-,t,-,S,-,h,-,-,-,a,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
amdo1237,-,-,-,t,-,S,-,h,-,-,-,a,n,-,-,-,-,-,-,-,-,y,-,o,o,-,-,X,-,-
utsa1239,-,-,-,t,-,S,-,h,-,-,-,E,-,k,-,-,-,-,-,-,-,h,-,-,u,-,-,N,-,-
kham1282,-,-,-,t,-,S,-,h,-,-,-,i,-,k,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
idum1241,-,-,-,-,e,-,-,k,-,-,-,o,-,k,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
diga1241,-,-,-,-,-,-,-,k,-,-,-,o,-,k,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
boka1249,-,-,-,-,-,-,-,k,-,-,-,u,-,N,-,-,-,-,-,-,-,r,-,-,u,-,-,m,-,-
garo1247,-,-,-,-,-,-,-,p,-,-,-,a,-,k,-,-,-,-,-,-,-,w,-,-,a,-,-,l,-,-
guan1279,k,a,k,-,-,-,-,l,-,-,-,a,-,k,-,-,-,-,-,-,-,t,-,-,a,-,-,i,-,-
hakk1236,-,-,-,-,-,-,-,S,-,-,-,a,-,7,-,-,-,-,-,-,-,h,-,-,a,-,-,-,-,-
hakk1236,l,a,k,t,-,-,-,s,-,-,h,a,-,k,-,t,-,a,-,i,-,h,-,-,a,-,-,-,-,-
chao1239,k,o,i,-,-,-,-,l,-,-,-,a,-,N,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-
oldc1244,-,-,-,-,-,-,-,G,-,-,-,o,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
