language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
khal1275,-,k,-,h,o,-,k,h,o,r,-,-,-,-,-,-,-,-,-,-,-,-,m,i,i,m
thul1246,-,k,-,h,i,-,k,h,i,r,-,-,-,-,-,-,-,-,-,-,-,-,m,-,a,-
kulu1253,-,k,-,h,i,-,k,h,i,r,-,-,-,-,-,-,-,-,-,-,-,-,p,-,a,-
kulu1253,-,-,-,p,u,-,-,p,u,l,-,-,-,-,-,-,-,-,-,-,-,-,p,-,a,-
limb1266,-,-,-,k,u,-,g,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-
bant1281,-,-,-,b,o,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,m,k,a,-
chep1245,-,-,-,-,-,-,-,-,-,l,-,-,-,-,3,-,-,-,-,-,-,-,p,-,3,-
wayu1241,-,-,-,k,u,-,-,-,-,l,-,-,k,-,u,-,-,-,-,-,-,-,l,-,-,-
wayu1241,-,-,-,p,e,-,m,p,e,r,-,-,-,-,e,-,-,-,-,-,-,-,m,-,u,-
oldb1235,-,-,-,-,-,-,-,-,-,l,-,-,-,-,u,-,-,-,-,-,-,-,m,-,h,-
nucl1310,-,-,-,-,-,-,-,-,-,w,-,-,-,-,o,-,-,-,-,-,-,-,i,-,-,-
lash1243,-,-,-,-,-,-,-,-,-,l,-,-,-,-,3,-,-,-,-,-,-,-,N,-,-,-
zaiw1241,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,N,-,-,-
maru1249,-,-,-,-,-,-,-,-,-,l,-,-,-,-,a,-,-,-,-,-,-,-,N,-,-,-
pela1242,-,-,-,-,-,-,-,-,-,l,-,-,-,-,a,-,-,-,-,-,-,-,N,-,-,-
pela1242,-,-,-,-,-,-,-,-,-,l,-,-,-,-,a,-,-,-,-,-,-,-,m,-,-,-
xian1249,-,-,-,-,-,-,-,-,-,l,-,-,-,-,u,-,-,-,-,-,-,-,m,-,-,-
acha1249,-,-,-,-,-,-,-,-,-,l,-,-,-,-,u,-,-,-,-,-,-,-,m,-,-,-
lisu1250,-,-,-,-,-,-,-,-,-,l,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
jing1260,-,-,-,-,-,-,-,-,-,t,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-
drun1238,-,-,-,-,o,-,N,-,-,l,-,-,-,-,u,-,-,-,-,-,-,-,N,-,-,-
haka1240,-,-,-,-,-,-,-,-,-,p,-,-,-,-,u,u,m,p,u,u,-,-,m,-,-,-
lush1249,-,-,-,-,-,-,-,-,-,m,-,-,-,-,u,-,-,-,-,-,-,-,m,-,-,-
lush1249,-,-,-,-,-,-,-,-,-,b,-,-,-,-,i,-,-,-,-,a,-,-,l,-,-,-
ukhr1238,-,k,-,-,-,-,-,-,-,h,-,-,-,-,3,-,N,-,-,u,-,-,m,-,-,-
karb1241,-,-,-,-,-,-,-,-,-,l,-,-,-,-,o,-,-,-,-,o,n,g,N,-,-,-
horp1240,-,X,-,-,o,-,-,-,-,r,-,-,X,-,o,-,-,-,-,-,-,-,r,-,-,-
eree1240,-,X,-,-,-,-,-,-,-,t,-,-,-,-,3,-,-,-,-,-,-,-,m,-,-,-
japh1234,-,-,-,-,a,-,-,-,-,r,-,-,t,-,u,-,-,-,-,-,-,-,m,-,-,-
situ1238,-,k,a,p,3,-,-,-,-,r,-,-,l,-,o,-,-,-,-,o,-,-,r,-,-,-
zhab1238,-,t,-,h,e,-,-,-,v,Z,e,v,Z,-,e,-,-,-,-,-,-,-,-,-,-,-
tang1334,-,i,-,-,o,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
tang1334,-,l,-,-,o,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,w,-,-,-
gahr1239,-,t,-,s,e,-,-,-,-,l,-,-,t,s,e,-,-,-,-,-,-,-,l,-,-,-
clas1254,s,g,-,-,o,-,-,-,o,r,-,m,-,-,o,-,-,-,-,-,-,-,-,-,-,-
clas1254,-,z,-,-,-,-,-,-,-,l,u,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-
amdo1237,-,k,-,-,o,-,-,-,o,r,-,r,k,-,o,-,-,-,-,o,-,-,r,-,-,-
amdo1237,h,k,-,-,o,-,-,-,o,r,-,h,k,-,o,-,-,-,-,-,-,-,-,-,-,-
utsa1239,-,k,-,-,o,-,-,-,-,-,-,-,k,-,o,-,-,-,-,-,-,-,-,-,-,-
kham1282,-,g,-,-,o,-,-,-,-,-,-,-,g,-,o,-,-,-,-,-,-,-,-,-,-,-
tsha1245,-,-,-,r,i,-,-,-,-,r,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
tsha1245,-,k,-,h,i,-,-,-,-,r,-,-,k,h,i,-,-,-,-,-,-,-,r,-,-,-
idum1241,o,g,-,-,o,-,-,-,o,N,-,-,t,i,o,-,-,-,-,-,-,-,N,-,-,-
diga1241,-,g,-,-,e,-,N,w,e,N,-,-,d,-,o,-,-,-,-,-,-,-,-,-,-,-
boka1249,-,-,-,-,a,-,-,-,-,-,-,-,p,-,u,-,-,-,-,-,-,-,-,-,-,-
boka1249,-,k,-,-,o,-,-,-,o,r,-,-,k,o,o,-,-,-,-,-,-,-,r,-,-,-
garo1247,-,t,-,-,a,m,7,b,i,N,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
garo1247,-,g,-,-,u,-,l,g,u,l,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
rabh1238,-,t,-,S,a,-,k,-,-,l,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
guan1279,-,-,-,-,-,-,-,-,-,y,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-
hakk1236,-,-,-,-,-,-,-,-,-,Z,-,-,-,-,E,-,-,-,-,-,-,-,n,-,-,-
hakk1236,-,-,-,-,-,-,-,-,-,y,-,-,-,-,E,-,-,-,-,-,-,-,n,-,-,-
beij1235,-,-,-,-,-,-,-,-,-,y,-,-,-,i,a,-,-,-,-,-,-,-,n,-,-,-
chao1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
chao1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-
oldc1244,-,-,-,-,-,-,-,-,-,G,-,-,w,r,e,-,-,-,-,-,-,-,n,-,-,-
