language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
khal1275,-,-,-,-,r,-,-,i,-,-,-,-,-,-,-,s,-,-,-,-,-,k,u,-,-,-,-,-,-
kulu1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,o,-,N,-,g,e,-,r,-,w,a,-
limb1266,-,-,-,-,h,-,-,i,-,-,-,-,-,-,k,-,-,-,-,-,-,w,a,-,-,-,-,-,-
bant1281,-,-,-,-,w,-,-,a,-,-,-,-,-,-,t,s,-,-,-,-,-,h,o,-,-,-,-,o,k
chep1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,i,-,t,-,-,-,-
oldb1235,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,n,a,-,n,n,h,-,-
nucl1310,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
lash1243,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,n,t,S,u,-
zaiw1241,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,n,-,-,-,-
maru1249,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,N,-,-,-,-
pela1242,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-
xian1249,t,s,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-
acha1249,t,s,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-
lisu1250,t,S,i,-,Z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
jing1260,-,-,-,-,n,-,-,u,-,-,-,m,-,-,-,Z,-,-,-,-,-,-,i,-,7,-,-,-,-
drun1238,-,-,-,-,n,-,-,a,-,-,-,m,k,-,l,-,-,-,-,-,-,-,a,-,N,-,-,-,-
drun1238,-,-,-,-,n,-,-,o,-,-,-,m,-,-,d,Z,-,-,-,-,-,-,a,-,N,-,-,-,-
haka1240,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,p,-,-,-,-
lush1249,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,i,-,-,-,-
karb1241,-,-,a,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-
horp1240,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,-,-,e,-,-,-,-,-,-
eree1240,-,-,-,-,r,-,-,d,-,-,-,-,-,-,-,z,-,-,-,-,-,-,3,-,d,-,o,o,-
japh1234,-,-,-,-,t,-,-,o,-,-,-,-,-,-,-,Z,-,-,-,r,-,-,i,-,-,-,-,-,-
situ1238,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,S,h,3,-,r,-,-,i,-,-,-,-,-,-
zhab1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,o,-,Z,-,-,e,-,-,-,-,-,-
zhab1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,o,-,-,-,-,-,-,-,-,-,-,-
tang1334,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,3,-,r,-,-,-,-,-,-,-,-,-
byan1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,i,i,l,-,-,-,-,-,-,-,-,-
rong1264,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-
gahr1239,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,z,-,i,-,l,-,p,a,-,-,-,-,-,-
clas1254,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,i,-,l,-,b,a,-,-,-,-,-,-
amdo1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,i,-,-,-,w,a,-,-,-,-,-,-
amdo1237,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,s,-,i,-,-,-,w,E,-,-,-,-,-,-
utsa1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,i,-,t,S,h,u,-,-,-,-,-,-
utsa1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,i,-,-,-,p,3,-,-,-,-,-,-
kham1282,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,i,-,t,S,h,u,-,-,-,-,-,-
idum1241,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,S,-,i,o,r,-,-,o,o,N,-,-,-,-
diga1241,-,b,o,N,d,-,-,-,-,-,-,-,-,-,-,Z,-,i,-,-,-,-,-,-,-,-,-,-,-
boka1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,u,-,g,-,-,u,-,m,-,-,-,-
garo1247,-,-,-,-,r,-,-,i,p,o,o,n,T,h,t,s,-,-,-,-,-,-,i,-,-,-,-,-,-
