language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
haka1240,-,-,n,-,u,-,u,-,-,N,n,u,u,n
lush1249,-,-,n,-,u,-,-,-,-,N,-,-,-,-
karb1241,-,-,r,-,e,-,e,n,g,N,-,-,-,-
khal1275,-,-,s,-,o,-,o,-,-,m,-,-,-,-
thul1246,-,-,n,-,3,-,-,-,-,-,-,-,-,-
kulu1253,-,-,l,-,e,-,i,-,-,m,-,-,a,-
bahi1252,-,-,s,-,e,l,i,-,-,-,-,-,-,-
limb1266,-,-,h,-,i,-,-,-,-,N,-,-,-,-
bant1281,-,-,h,-,3,-,-,-,-,N,-,-,-,-
chep1245,-,-,s,-,e,l,-,-,-,7,-,-,-,-
wayu1241,d,-,z,-,o,-,o,-,-,l,-,-,-,-
lash1243,-,-,t,-,3,t,-,-,-,s,-,-,3,-
zaiw1241,-,-,t,-,u,-,-,-,-,i,-,-,e,-
maru1249,-,-,t,-,o,-,-,-,-,i,-,k,a,u
pela1242,a,-,t,-,u,-,-,-,-,i,-,-,-,-
nucl1310,-,-,-,-,o,S,-,-,-,i,-,-,-,-
lisu1250,-,-,s,-,-,-,-,-,-,-,-,-,E,-
drun1238,-,-,-,-,o,-,-,-,-,N,-,-,o,t
japh1234,-,-,s,-,u,-,-,-,-,-,-,s,u,-
situ1238,k,3,s,-,3,-,-,-,-,-,-,s,o,-
zhab1238,-,-,s,-,i,-,-,-,-,-,-,s,i,-
amdo1237,x,-,s,o,o,-,-,-,-,m,-,b,o,-
amdo1237,-,-,s,o,o,-,-,-,-,m,-,b,o,-
kham1282,-,-,s,-,e,-,-,-,-,m,-,b,u,-
tsha1245,-,-,s,o,o,-,-,-,-,n,-,p,o,-
byan1241,-,-,t,-,a,-,-,-,-,N,-,d,e,-
rong1264,-,-,h,-,u,-,-,-,-,N,-,-,-,-
gahr1239,-,-,s,o,o,-,-,-,-,n,-,p,o,-
idum1241,-,-,s,-,u,-,-,-,-,N,-,-,-,-
diga1241,o,-,s,-,u,-,-,-,-,N,-,-,-,-
boka1249,-,-,t,-,u,r,-,-,-,n,-,-,3,-
garo1247,-,-,t,-,a,n,-,-,g,N,-,-,a,-
rabh1238,k,-,h,-,e,-,-,-,-,N,-,-,-,-
hakk1236,-,-,s,-,a,-,-,-,-,N,-,k,e,-
hakk1236,-,-,s,-,a,-,-,-,-,N,-,-,E,-
